gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
8,0.428871,0.516359,0.536407,0.478043,0.435808
8,0.428814,0.516578,0.536691,0.478401,0.436125
8,0.428750,0.516615,0.536780,0.478586,0.436240
8,0.428736,0.516585,0.536814,0.478712,0.436290
8,0.428658,0.516501,0.536767,0.478671,0.436231
8,0.428651,0.516424,0.536654,0.478571,0.436129
8,0.428682,0.516404,0.536461,0.478414,0.436000
8,0.428615,0.516346,0.536167,0.478204,0.435723
8,0.428543,0.516290,0.535910,0.478004,0.435408
8,0.428495,0.516306,0.535760,0.477856,0.435124
8,0.428440,0.516320,0.535645,0.477766,0.434956
8,0.428375,0.516320,0.535509,0.477664,0.434815
8,0.428272,0.516329,0.535439,0.477612,0.434728
8,0.428234,0.516284,0.535362,0.477523,0.434706
8,0.428175,0.516228,0.535332,0.477477,0.434686
8,0.428121,0.516103,0.535369,0.477527,0.434726
8,0.428062,0.515978,0.535449,0.477582,0.434749
8,0.428048,0.515887,0.535496,0.477608,0.434777
8,0.428010,0.515753,0.535474,0.477568,0.434796
8,0.427912,0.515486,0.535419,0.477465,0.434760
8,0.427817,0.515240,0.535334,0.477354,0.434752
8,0.427757,0.515046,0.535296,0.477312,0.434783
8,0.427693,0.514855,0.535249,0.477255,0.434729
8,0.427630,0.514661,0.535230,0.477270,0.434720
8,0.427472,0.514517,0.535160,0.477249,0.434706
8,0.427348,0.514431,0.535075,0.477222,0.434644
8,0.427327,0.514388,0.534996,0.477254,0.434524
8,0.427297,0.514314,0.534965,0.477269,0.434459
8,0.427087,0.514280,0.535005,0.477430,0.434600
8,0.426967,0.514259,0.535028,0.477412,0.434557
8,0.426963,0.514247,0.534986,0.477291,0.434530
8,0.426986,0.514214,0.534952,0.477153,0.434513
8,0.427013,0.514127,0.534911,0.477040,0.434488
8,0.427048,0.514046,0.534810,0.476928,0.434418
8,0.427038,0.513940,0.534692,0.476835,0.434363
8,0.427049,0.513841,0.534575,0.476733,0.434254
8,0.427088,0.513750,0.534521,0.476702,0.434141
8,0.427071,0.513669,0.534483,0.476687,0.434017
8,0.427065,0.513618,0.534438,0.476635,0.433978
8,0.427131,0.513564,0.534414,0.476572,0.433963
8,0.427260,0.513538,0.534380,0.476509,0.434094
8,0.427493,0.513477,0.534227,0.476336,0.434176
8,0.427563,0.513415,0.534155,0.476264,0.434126
8,0.427563,0.513415,0.534155,0.476264,0.434126
8,0.427585,0.513318,0.533995,0.476099,0.434028
8,0.427580,0.513277,0.533913,0.475976,0.434085
8,0.427570,0.513248,0.533772,0.475859,0.434061
8,0.427589,0.513164,0.533650,0.475741,0.434004
8,0.427618,0.513070,0.533542,0.475638,0.433943
8,0.427633,0.512969,0.533442,0.475530,0.433856
8,0.427613,0.512801,0.533325,0.475428,0.433729
8,0.427603,0.512658,0.533247,0.475348,0.433623
8,0.427562,0.512436,0.533172,0.475263,0.433516
8,0.427545,0.512365,0.533117,0.475155,0.433406
8,0.427611,0.512293,0.533078,0.475041,0.433311
8,0.427663,0.512205,0.533001,0.474924,0.433191
8,0.427684,0.512172,0.532894,0.474830,0.433128
8,0.427673,0.512103,0.532763,0.474751,0.433090
8,0.427661,0.512010,0.532615,0.474668,0.433026
8,0.427676,0.511698,0.532303,0.474489,0.432811
8,0.427676,0.511698,0.532303,0.474489,0.432811
8,0.427683,0.511566,0.532127,0.474397,0.432677
8,0.427683,0.511447,0.531996,0.474312,0.432573
8,0.427661,0.511352,0.531902,0.474235,0.432442
8,0.427625,0.511282,0.531825,0.474162,0.432371
8,0.427584,0.511210,0.531740,0.474084,0.432296
8,0.427533,0.511185,0.531691,0.474038,0.432250
8,0.427485,0.511144,0.531642,0.473991,0.432223
8,0.427476,0.511158,0.531605,0.473961,0.432263
8,0.427478,0.511159,0.531567,0.473926,0.432323
8,0.427500,0.511178,0.531587,0.473911,0.432424
8,0.427522,0.511171,0.531621,0.473899,0.432485
8,0.427445,0.511152,0.531627,0.473871,0.432485
8,0.427464,0.511114,0.531626,0.473858,0.432511
8,0.427511,0.511103,0.531618,0.473846,0.432558
