gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
5,0.193068,0.447650,0.485819,0.448024,0.282602
5,0.192832,0.447783,0.485844,0.448222,0.283100
5,0.192866,0.447642,0.485395,0.448121,0.283326
5,0.192869,0.447513,0.485090,0.448037,0.283527
5,0.192933,0.447380,0.484808,0.447934,0.283685
5,0.192924,0.447283,0.484629,0.447857,0.283860
5,0.192958,0.447158,0.484524,0.447793,0.284069
5,0.192976,0.447068,0.484367,0.447636,0.284254
5,0.193024,0.447039,0.484286,0.447558,0.284374
5,0.193109,0.446998,0.484241,0.447484,0.284461
5,0.193192,0.446967,0.484200,0.447402,0.284625
5,0.193283,0.446916,0.484089,0.447221,0.284691
5,0.193340,0.446865,0.483965,0.447086,0.284804
5,0.193373,0.446848,0.483883,0.446986,0.284929
5,0.193408,0.446813,0.483809,0.446843,0.285112
5,0.193388,0.446799,0.483761,0.446754,0.285277
5,0.193379,0.446794,0.483762,0.446735,0.285379
5,0.193356,0.446770,0.483707,0.446687,0.285421
5,0.193331,0.446810,0.483676,0.446667,0.285486
5,0.193299,0.446869,0.483694,0.446665,0.285532
5,0.193247,0.446940,0.483715,0.446660,0.285551
5,0.193222,0.446981,0.483714,0.446651,0.285545
5,0.193159,0.446986,0.483714,0.446658,0.285517
5,0.193119,0.446996,0.483705,0.446677,0.285495
5,0.193093,0.446996,0.483714,0.446706,0.285555
5,0.193037,0.446970,0.483715,0.446725,0.285581
5,0.193016,0.446931,0.483694,0.446701,0.285557
5,0.192994,0.446927,0.483700,0.446728,0.285511
5,0.192951,0.446922,0.483706,0.446733,0.285500
5,0.192934,0.446893,0.483687,0.446729,0.285480
5,0.192890,0.446877,0.483680,0.446763,0.285408
5,0.192884,0.446810,0.483635,0.446771,0.285262
5,0.192870,0.446697,0.483526,0.446738,0.285043
5,0.192834,0.446648,0.483461,0.446695,0.284910
5,0.192785,0.446588,0.483389,0.446613,0.284844
5,0.192762,0.446497,0.483229,0.446628,0.284681
5,0.192759,0.446457,0.483144,0.446654,0.284665
5,0.192653,0.446365,0.483037,0.446719,0.284495
5,0.192653,0.446365,0.483037,0.446719,0.284495
5,0.192595,0.446308,0.482987,0.446707,0.284206
5,0.192559,0.446213,0.482940,0.446694,0.283806
5,0.192518,0.446187,0.482920,0.446726,0.283525
5,0.192507,0.446069,0.482780,0.446616,0.283451
5,0.192546,0.445990,0.482726,0.446582,0.283512
5,0.192582,0.445978,0.482769,0.446673,0.283617
5,0.192556,0.445934,0.482858,0.446751,0.283696
5,0.192533,0.445874,0.482797,0.446648,0.283612
5,0.192511,0.445874,0.482812,0.446638,0.283500
5,0.192499,0.445916,0.482836,0.446586,0.283226
5,0.192464,0.445991,0.482933,0.446578,0.282878
5,0.192414,0.446077,0.482994,0.446583,0.282707
5,0.192417,0.446037,0.482946,0.446442,0.282576
5,0.192408,0.446022,0.482896,0.446284,0.282434
5,0.192333,0.445996,0.482755,0.445982,0.281791
5,0.192333,0.445996,0.482755,0.445982,0.281791
5,0.192280,0.445968,0.482671,0.445864,0.281554
5,0.192241,0.445917,0.482601,0.445774,0.281353
5,0.192100,0.445993,0.482396,0.445801,0.281498
5,0.191881,0.446075,0.482393,0.445849,0.281451
5,0.191804,0.446059,0.482417,0.445836,0.281474
5,0.191842,0.446044,0.482485,0.445843,0.281453
5,0.191842,0.446044,0.482485,0.445843,0.281453
5,0.191903,0.446028,0.482527,0.445885,0.281414
5,0.191903,0.445905,0.482554,0.445738,0.280978
5,0.191940,0.445785,0.482512,0.445556,0.280253
5,0.191965,0.445653,0.482424,0.445396,0.279940
5,0.191988,0.445573,0.482354,0.445263,0.279793
5,0.192064,0.445490,0.482281,0.445150,0.279784
5,0.192088,0.445387,0.482207,0.445116,0.279765
5,0.192158,0.445357,0.482059,0.445046,0.279756
5,0.192224,0.445359,0.481925,0.444993,0.279728
5,0.192315,0.445369,0.481860,0.444959,0.279693
5,0.192361,0.445307,0.481853,0.444938,0.279520
5,0.192424,0.445225,0.481864,0.444933,0.279371
5,0.192491,0.445204,0.481857,0.444852,0.279287
5,0.192522,0.445227,0.481824,0.444770,0.279278
5,0.192567,0.445375,0.481645,0.444585,0.279205
5,0.192494,0.445577,0.481557,0.444539,0.279212
5,0.192474,0.445719,0.481516,0.444520,0.279174
5,0.192482,0.445788,0.481549,0.444548,0.279252
5,0.192519,0.445837,0.481613,0.444569,0.279374
5,0.192519,0.445837,0.481613,0.444569,0.279374
5,0.192548,0.445830,0.481624,0.444606,0.279392
5,0.192578,0.445796,0.481638,0.444632,0.279400
5,0.192638,0.445731,0.481632,0.444607,0.279451
5,0.192631,0.445746,0.481585,0.444564,0.279273
5,0.192629,0.445755,0.481531,0.444491,0.279227
5,0.192615,0.445695,0.481516,0.444357,0.279070
5,0.192592,0.445644,0.481525,0.444241,0.278963
5,0.192578,0.445620,0.481539,0.444146,0.278979
5,0.192555,0.445621,0.481544,0.444062,0.278967
5,0.192549,0.445634,0.481564,0.444035,0.278958
5,0.192547,0.445572,0.481561,0.443963,0.278881
5,0.192567,0.445524,0.481544,0.443895,0.278899
5,0.192549,0.445460,0.481546,0.443863,0.278816
5,0.192502,0.445399,0.481540,0.443798,0.278693
5,0.192380,0.445400,0.481561,0.443784,0.278496
5,0.192290,0.445388,0.481548,0.443744,0.278352
5,0.192209,0.445400,0.481524,0.443677,0.278244
5,0.192128,0.445408,0.481494,0.443618,0.278122
5,0.192017,0.445419,0.481433,0.443543,0.277986
5,0.191961,0.445429,0.481411,0.443474,0.277820
5,0.191934,0.445489,0.481406,0.443452,0.277959
5,0.191892,0.445611,0.481452,0.443453,0.278199
5,0.191892,0.445727,0.481418,0.443496,0.278324
5,0.191866,0.445852,0.481378,0.443514,0.278443
5,0.191866,0.446048,0.481347,0.443449,0.278717
5,0.191860,0.446165,0.481344,0.443431,0.278867
5,0.191834,0.446247,0.481328,0.443433,0.278906
5,0.191828,0.446317,0.481340,0.443458,0.279031
5,0.191831,0.446354,0.481388,0.443455,0.279075
5,0.191809,0.446375,0.481426,0.443451,0.279082
5,0.191824,0.446366,0.481469,0.443441,0.279058
5,0.191794,0.446325,0.481448,0.443368,0.279059
5,0.191778,0.446335,0.481404,0.443346,0.278959
5,0.191814,0.446487,0.481364,0.443441,0.279208
5,0.191839,0.446641,0.481338,0.443483,0.279196
5,0.191805,0.446725,0.481245,0.443478,0.279083
5,0.191744,0.446804,0.481195,0.443473,0.279016
