gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
4,0.233078,0.421276,0.112137,0.131238,0.151756
4,0.211003,0.435682,0.129087,0.133572,0.154485
4,0.203290,0.436684,0.208491,0.134044,0.154906
4,0.197890,0.439790,0.330786,0.136585,0.153760
4,0.192913,0.442473,0.384194,0.139803,0.154367
4,0.189918,0.443950,0.397781,0.142563,0.155663
4,0.188184,0.444064,0.401706,0.143912,0.156646
4,0.187153,0.444068,0.403141,0.144505,0.157188
4,0.186384,0.444131,0.403788,0.145003,0.157566
4,0.185884,0.443981,0.403950,0.145414,0.157811
4,0.185486,0.443802,0.404230,0.145769,0.157977
4,0.185167,0.443409,0.404472,0.145951,0.158081
4,0.184999,0.443140,0.404730,0.146060,0.158217
4,0.184878,0.442958,0.404940,0.146118,0.158289
4,0.184752,0.442690,0.404985,0.146268,0.158408
4,0.184702,0.442514,0.405055,0.146313,0.158455
4,0.184671,0.442443,0.405095,0.146281,0.158474
4,0.184667,0.442448,0.405176,0.146315,0.158519
4,0.184650,0.442478,0.405171,0.146245,0.158513
4,0.184649,0.442489,0.405114,0.146238,0.158490
4,0.184655,0.442543,0.404998,0.146237,0.158462
4,0.184654,0.442542,0.404851,0.146261,0.158451
4,0.184635,0.442552,0.404659,0.146264,0.158441
4,0.184601,0.442558,0.404424,0.146246,0.158449
4,0.184571,0.442651,0.404317,0.146242,0.158431
4,0.184513,0.442705,0.404131,0.146166,0.158384
4,0.184495,0.442723,0.404055,0.146162,0.158396
4,0.184453,0.442671,0.403968,0.146133,0.158393
4,0.184423,0.442585,0.403941,0.146121,0.158376
4,0.184429,0.442508,0.403891,0.146065,0.158345
4,0.184414,0.442432,0.403904,0.146033,0.158354
4,0.184385,0.442300,0.403907,0.146036,0.158343
4,0.184358,0.442133,0.403953,0.146030,0.158283
4,0.184334,0.441947,0.403980,0.146073,0.158249
4,0.184317,0.441790,0.403975,0.146056,0.158184
4,0.184307,0.441678,0.403942,0.146061,0.158148
4,0.184310,0.441586,0.403886,0.146106,0.158154
4,0.184334,0.441524,0.403791,0.146156,0.158168
4,0.184394,0.441480,0.403736,0.146257,0.158251
4,0.184378,0.441554,0.403610,0.146364,0.158330
4,0.184353,0.441617,0.403535,0.146402,0.158380
4,0.184380,0.441718,0.403432,0.146492,0.158432
4,0.184357,0.441895,0.403290,0.146517,0.158476
4,0.184380,0.442001,0.403256,0.146544,0.158506
4,0.184311,0.442035,0.403177,0.146594,0.158555
4,0.184212,0.442074,0.402966,0.146652,0.158562
4,0.184222,0.442075,0.402697,0.146760,0.158574
4,0.184152,0.441639,0.400983,0.146615,0.158331
4,0.184152,0.441639,0.400983,0.146615,0.158331
4,0.184151,0.441568,0.400646,0.146685,0.158301
4,0.184181,0.441517,0.400357,0.146703,0.158275
4,0.184100,0.441434,0.400050,0.146712,0.158159
4,0.184078,0.441421,0.399923,0.146849,0.158108
4,0.184038,0.441443,0.399861,0.146819,0.157917
4,0.184003,0.441428,0.399744,0.146787,0.157792
4,0.184041,0.441417,0.399705,0.146809,0.157760
4,0.184094,0.441443,0.399688,0.146847,0.157741
4,0.184105,0.441424,0.399634,0.146851,0.157760
4,0.184098,0.441321,0.399578,0.146897,0.157877
4,0.184091,0.441174,0.399537,0.146975,0.157941
4,0.184047,0.441070,0.399574,0.147137,0.158089
4,0.184045,0.441007,0.399434,0.147218,0.158208
4,0.184066,0.440949,0.399122,0.147336,0.158357
4,0.184088,0.440915,0.398476,0.147367,0.158418
4,0.184077,0.440886,0.397486,0.147365,0.158514
4,0.183989,0.440855,0.396931,0.147362,0.158559
4,0.183930,0.440833,0.396397,0.147395,0.158563
4,0.183853,0.440763,0.396238,0.147386,0.158540
4,0.183826,0.440720,0.396118,0.147245,0.158467
4,0.183849,0.440271,0.396049,0.147089,0.158373
4,0.183711,0.439984,0.396289,0.147220,0.158235
4,0.183923,0.439696,0.396526,0.147203,0.157971
4,0.183923,0.439696,0.396526,0.147203,0.157971
4,0.184089,0.439579,0.396583,0.147149,0.157837
4,0.184194,0.439456,0.396650,0.147127,0.157744
4,0.184262,0.439457,0.396748,0.147076,0.157664
4,0.184405,0.439523,0.396821,0.147090,0.157634
4,0.184410,0.439643,0.396787,0.147115,0.157633
4,0.184418,0.439686,0.396764,0.147143,0.157641
4,0.184429,0.439702,0.396751,0.147173,0.157659
4,0.184460,0.439721,0.396739,0.147168,0.157646
4,0.184484,0.439742,0.396689,0.147159,0.157663
4,0.184482,0.439751,0.396642,0.147160,0.157673
4,0.184501,0.439723,0.396635,0.147164,0.157689
4,0.184502,0.439642,0.396696,0.147163,0.157710
4,0.184506,0.439537,0.396664,0.147145,0.157725
4,0.184497,0.439424,0.396753,0.147165,0.157720
4,0.184473,0.439314,0.396971,0.147240,0.157753
4,0.184442,0.439178,0.397059,0.147240,0.157735
4,0.184426,0.439105,0.397043,0.147204,0.157719
