gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
1,0.271811,0.407763,0.139013,0.133027,0.141293
1,0.273029,0.407615,0.139071,0.132928,0.142115
1,0.273756,0.407107,0.138814,0.132641,0.142380
1,0.274263,0.406569,0.138447,0.132254,0.142571
1,0.274675,0.406192,0.138130,0.131924,0.142724
1,0.275051,0.405918,0.137909,0.131695,0.142867
1,0.275310,0.405635,0.137743,0.131557,0.142995
1,0.275415,0.405377,0.137634,0.131499,0.143081
1,0.275519,0.405141,0.137539,0.131423,0.143130
1,0.275543,0.405079,0.137436,0.131353,0.143159
1,0.275558,0.405044,0.137346,0.131299,0.143208
1,0.275594,0.404983,0.137289,0.131238,0.143209
1,0.275665,0.404914,0.137253,0.131199,0.143191
1,0.275677,0.404855,0.137202,0.131158,0.143205
1,0.275569,0.404615,0.137145,0.131130,0.143181
1,0.275584,0.404388,0.137116,0.131107,0.143206
1,0.275619,0.404237,0.137062,0.131077,0.143219
1,0.275691,0.404117,0.137033,0.131047,0.143251
1,0.275838,0.403987,0.136999,0.131018,0.143292
1,0.275957,0.403797,0.136953,0.130974,0.143325
1,0.276085,0.403649,0.136873,0.130900,0.143337
1,0.276204,0.403549,0.136788,0.130812,0.143352
1,0.276289,0.403499,0.136690,0.130741,0.143354
1,0.276330,0.403407,0.136608,0.130693,0.143365
1,0.276388,0.403360,0.136526,0.130629,0.143353
1,0.276430,0.403336,0.136469,0.130582,0.143346
1,0.276455,0.403349,0.136405,0.130555,0.143350
1,0.276520,0.403349,0.136389,0.130554,0.143341
1,0.276559,0.403361,0.136363,0.130552,0.143305
1,0.276570,0.403407,0.136351,0.130537,0.143280
1,0.276588,0.403437,0.136327,0.130514,0.143253
1,0.276556,0.403483,0.136323,0.130518,0.143253
1,0.276543,0.403578,0.136319,0.130511,0.143254
1,0.276523,0.403685,0.136320,0.130507,0.143247
1,0.276530,0.403756,0.136325,0.130499,0.143247
1,0.276546,0.403799,0.136339,0.130479,0.143248
1,0.276594,0.403842,0.136336,0.130452,0.143250
1,0.276732,0.403869,0.136349,0.130430,0.143239
1,0.276874,0.403928,0.136298,0.130373,0.143248
1,0.277036,0.403942,0.136248,0.130301,0.143223
1,0.277075,0.403946,0.136185,0.130237,0.143146
1,0.277129,0.403948,0.136222,0.130187,0.143044
1,0.277125,0.403792,0.136467,0.130132,0.143003
1,0.277125,0.403792,0.136467,0.130132,0.143003
1,0.277084,0.403733,0.136505,0.130113,0.142959
1,0.277061,0.403676,0.136508,0.130103,0.142882
1,0.277053,0.403586,0.136552,0.130118,0.142771
1,0.277050,0.403475,0.136601,0.130186,0.142725
1,0.277006,0.403390,0.136647,0.130234,0.142705
1,0.276985,0.403291,0.136645,0.130281,0.142699
1,0.276987,0.403258,0.136657,0.130316,0.142668
1,0.277001,0.403252,0.136651,0.130333,0.142648
1,0.277016,0.403259,0.136666,0.130358,0.142604
1,0.277020,0.403266,0.136690,0.130391,0.142592
1,0.277032,0.403246,0.136715,0.130412,0.142573
1,0.276988,0.403230,0.136698,0.130412,0.142577
1,0.276901,0.403202,0.136680,0.130414,0.142582
1,0.276847,0.403203,0.136669,0.130412,0.142580
1,0.276865,0.403187,0.136635,0.130391,0.142549
1,0.276931,0.403143,0.136615,0.130369,0.142506
1,0.277005,0.403121,0.136592,0.130337,0.142442
1,0.277095,0.403124,0.136559,0.130318,0.142387
1,0.277151,0.403166,0.136546,0.130307,0.142345
1,0.277197,0.403214,0.136534,0.130301,0.142304
1,0.277251,0.403233,0.136529,0.130305,0.142279
1,0.277278,0.403275,0.136517,0.130305,0.142271
1,0.277271,0.403313,0.136515,0.130313,0.142263
1,0.277121,0.403379,0.136471,0.130315,0.142276
1,0.276916,0.403474,0.136417,0.130353,0.142344
1,0.276843,0.403537,0.136370,0.130406,0.142426
1,0.276847,0.403571,0.136339,0.130430,0.142485
1,0.276892,0.403564,0.136336,0.130458,0.142537
1,0.276936,0.403543,0.136340,0.130490,0.142606
1,0.276903,0.403553,0.136329,0.130523,0.142701
1,0.276954,0.403604,0.136329,0.130551,0.142786
1,0.276969,0.403653,0.136363,0.130584,0.142865
1,0.277065,0.403684,0.136453,0.130642,0.142927
1,0.277178,0.403699,0.136574,0.130701,0.142980
1,0.277128,0.403745,0.136713,0.130787,0.143038
1,0.277086,0.403742,0.136801,0.130835,0.143080
1,0.277030,0.403750,0.136931,0.130879,0.143108
1,0.277015,0.403793,0.137051,0.130925,0.143150
1,0.277000,0.403888,0.137164,0.130967,0.143180
1,0.277052,0.403901,0.137232,0.130984,0.143200
1,0.277097,0.403902,0.137278,0.130993,0.143211
1,0.277103,0.403910,0.137319,0.131009,0.143217
1,0.277116,0.403934,0.137336,0.131007,0.143213
1,0.277136,0.403935,0.137328,0.130988,0.143189
1,0.277165,0.403925,0.137312,0.130969,0.143164
1,0.277184,0.403914,0.137295,0.130956,0.143141
1,0.277184,0.403903,0.137282,0.130948,0.143121
1,0.277182,0.403884,0.137252,0.130945,0.143107
1,0.277196,0.403864,0.137216,0.130942,0.143115
1,0.277215,0.403847,0.137182,0.130932,0.143114
1,0.277219,0.403814,0.137133,0.130916,0.143138
1,0.277226,0.403800,0.137069,0.130885,0.143125
1,0.277225,0.403792,0.137023,0.130869,0.143130
1,0.277211,0.403830,0.136995,0.130858,0.143111
1,0.277215,0.403830,0.136990,0.130849,0.143096
1,0.277216,0.403872,0.136974,0.130848,0.143103
1,0.277138,0.403933,0.136965,0.130834,0.143098
1,0.277050,0.404016,0.136978,0.130810,0.143097
1,0.276974,0.404086,0.136990,0.130794,0.143084
1,0.276943,0.404149,0.137010,0.130788,0.143065
1,0.276927,0.404220,0.137055,0.130802,0.143051
1,0.276853,0.404299,0.137070,0.130804,0.143065
1,0.276766,0.404487,0.137036,0.130793,0.143039
1,0.276748,0.404623,0.137015,0.130785,0.143031
1,0.276741,0.404707,0.136978,0.130774,0.143015
1,0.276728,0.404767,0.136956,0.130760,0.143037
1,0.276778,0.404831,0.136908,0.130740,0.143005
1,0.276841,0.404902,0.136807,0.130708,0.142955
1,0.276997,0.404908,0.136737,0.130681,0.142935
1,0.277142,0.404908,0.136644,0.130636,0.142919
1,0.277261,0.404914,0.136567,0.130577,0.142935
1,0.277359,0.404927,0.136509,0.130542,0.142939
1,0.277462,0.404926,0.136474,0.130527,0.142947
1,0.277556,0.404912,0.136443,0.130517,0.142950
1,0.277623,0.404887,0.136413,0.130512,0.142969
1,0.277687,0.404856,0.136397,0.130513,0.142989
1,0.277736,0.404829,0.136386,0.130511,0.143014
1,0.277762,0.404805,0.136382,0.130518,0.143034
1,0.277769,0.404764,0.136388,0.130532,0.143042
1,0.277745,0.404720,0.136409,0.130536,0.143035
1,0.277644,0.404683,0.136423,0.130534,0.143040
1,0.277534,0.404668,0.136450,0.130536,0.143030
1,0.277484,0.404644,0.136481,0.130529,0.143004
1,0.277489,0.404642,0.136561,0.130537,0.142955
1,0.277473,0.404636,0.136656,0.130570,0.142960
1,0.277432,0.404626,0.136748,0.130587,0.142959
1,0.277403,0.404634,0.136787,0.130590,0.142948
1,0.277352,0.404682,0.136870,0.130631,0.142954
1,0.277301,0.404751,0.136925,0.130656,0.142957
1,0.277308,0.404802,0.136973,0.130679,0.142943
1,0.277301,0.404843,0.137012,0.130692,0.142935
1,0.277309,0.404891,0.137044,0.130702,0.142931
1,0.277324,0.404901,0.137071,0.130711,0.142933
1,0.277331,0.404893,0.137070,0.130710,0.142951
1,0.277352,0.404895,0.136997,0.130693,0.142961
1,0.277378,0.404846,0.136974,0.130709,0.142968
1,0.277435,0.404813,0.136891,0.130693,0.142992
1,0.277516,0.404758,0.136791,0.130663,0.143029
1,0.277589,0.404706,0.136728,0.130659,0.143060
1,0.277615,0.404689,0.136676,0.130665,0.143100
1,0.277636,0.404661,0.136630,0.130659,0.143142
1,0.277644,0.404639,0.136591,0.130639,0.143167
1,0.277659,0.404607,0.136560,0.130624,0.143186
1,0.277685,0.404586,0.136549,0.130618,0.143205
1,0.277684,0.404582,0.136542,0.130615,0.143231
1,0.277676,0.404587,0.136542,0.130615,0.143255
1,0.277709,0.404573,0.136568,0.130622,0.143260
1,0.277745,0.404544,0.136589,0.130623,0.143262
1,0.277782,0.404523,0.136580,0.130610,0.143286
1,0.277851,0.404489,0.136591,0.130614,0.143314
1,0.277939,0.404329,0.136608,0.130612,0.143316
1,0.278029,0.404171,0.136645,0.130616,0.143333
1,0.278096,0.404042,0.136676,0.130614,0.143334
1,0.278150,0.403953,0.136709,0.130617,0.143355
1,0.278197,0.403871,0.136710,0.130611,0.143370
1,0.278222,0.403708,0.136713,0.130616,0.143401
1,0.278247,0.403578,0.136698,0.130619,0.143433
1,0.278261,0.403472,0.136686,0.130622,0.143474
1,0.278284,0.403378,0.136684,0.130633,0.143526
1,0.278265,0.403328,0.136680,0.130641,0.143570
1,0.278272,0.403309,0.136697,0.130657,0.143589
1,0.278260,0.403311,0.136713,0.130670,0.143606
1,0.278280,0.403304,0.136728,0.130670,0.143596
1,0.278246,0.403285,0.136748,0.130673,0.143615
1,0.278225,0.403236,0.136772,0.130667,0.143598
1,0.278103,0.403184,0.136802,0.130663,0.143568
1,0.278046,0.403167,0.136800,0.130654,0.143550
1,0.277975,0.403154,0.136793,0.130647,0.143548
1,0.277891,0.403147,0.136786,0.130641,0.143526
1,0.277795,0.403134,0.136783,0.130640,0.143506
1,0.277724,0.403138,0.136777,0.130633,0.143484
1,0.277677,0.403138,0.136779,0.130632,0.143469
1,0.277672,0.403163,0.136782,0.130630,0.143452
1,0.277652,0.403216,0.136782,0.130629,0.143433
1,0.277637,0.403257,0.136792,0.130632,0.143412
1,0.277614,0.403315,0.136796,0.130630,0.143405
1,0.277629,0.403378,0.136794,0.130623,0.143392
1,0.277633,0.403488,0.136772,0.130613,0.143384
1,0.277651,0.403582,0.136738,0.130590,0.143379
1,0.277726,0.403800,0.136708,0.130550,0.143358
1,0.277762,0.404043,0.136658,0.130504,0.143326
1,0.277790,0.404264,0.136648,0.130467,0.143316
1,0.277782,0.404429,0.136636,0.130431,0.143285
1,0.277741,0.404578,0.136625,0.130404,0.143216
1,0.277787,0.404629,0.136621,0.130398,0.143121
1,0.277765,0.404669,0.136605,0.130387,0.142975
1,0.277736,0.404711,0.136545,0.130374,0.142876
1,0.277675,0.404724,0.136553,0.130366,0.142791
1,0.277641,0.404793,0.136551,0.130367,0.142703
1,0.277634,0.404834,0.136543,0.130380,0.142655
1,0.277617,0.404905,0.136545,0.130409,0.142603
1,0.277584,0.404970,0.136566,0.130459,0.142576
1,0.277551,0.405017,0.136578,0.130501,0.142560
1,0.277537,0.405068,0.136627,0.130542,0.142547
1,0.277525,0.405128,0.136690,0.130580,0.142530
1,0.277529,0.405177,0.136802,0.130644,0.142505
1,0.277514,0.405203,0.136882,0.130693,0.142492
1,0.277481,0.405223,0.136947,0.130734,0.142480
1,0.277455,0.405223,0.136987,0.130758,0.142472
1,0.277447,0.405194,0.137018,0.130772,0.142443
1,0.277464,0.405124,0.137054,0.130803,0.142433
1,0.277533,0.405003,0.137086,0.130845,0.142424
1,0.277545,0.404868,0.137142,0.130885,0.142420
1,0.277568,0.404811,0.137201,0.130923,0.142403
1,0.277561,0.404808,0.137287,0.130966,0.142397
1,0.277583,0.404832,0.137378,0.131021,0.142407
1,0.277529,0.404869,0.137418,0.131051,0.142439
1,0.277508,0.404856,0.137475,0.131090,0.142437
1,0.277476,0.404759,0.137495,0.131101,0.142434
1,0.277404,0.404680,0.137514,0.131105,0.142472
1,0.277386,0.404647,0.137596,0.131150,0.142495
1,0.277356,0.404661,0.137627,0.131181,0.142502
1,0.277341,0.404665,0.137649,0.131196,0.142492
1,0.277343,0.404702,0.137717,0.131233,0.142464
1,0.277321,0.404683,0.137743,0.131246,0.142425
1,0.277323,0.404727,0.137770,0.131265,0.142384
1,0.277313,0.404787,0.137771,0.131266,0.142360
1,0.277291,0.404791,0.137775,0.131273,0.142330
1,0.277275,0.404783,0.137785,0.131286,0.142336
1,0.277282,0.404741,0.137796,0.131290,0.142330
1,0.277298,0.404721,0.137784,0.131298,0.142313
1,0.277311,0.404713,0.137778,0.131303,0.142322
1,0.277345,0.404705,0.137763,0.131307,0.142325
1,0.277378,0.404717,0.137761,0.131310,0.142324
1,0.277428,0.404747,0.137778,0.131321,0.142326
1,0.277443,0.404772,0.137804,0.131331,0.142353
1,0.277452,0.404797,0.137838,0.131344,0.142390
1,0.277462,0.404817,0.137872,0.131373,0.142416
1,0.277502,0.404813,0.137884,0.131397,0.142435
1,0.277525,0.404818,0.137886,0.131418,0.142432
1,0.277531,0.404815,0.137875,0.131425,0.142434
1,0.277531,0.404803,0.137868,0.131424,0.142441
1,0.277548,0.404810,0.137859,0.131425,0.142463
1,0.277562,0.404819,0.137846,0.131429,0.142489
1,0.277549,0.404806,0.137836,0.131412,0.142495
1,0.277523,0.404811,0.137841,0.131410,0.142510
1,0.277500,0.404830,0.137866,0.131420,0.142513
1,0.277507,0.404816,0.137900,0.131431,0.142520
1,0.277497,0.404803,0.137893,0.131433,0.142526
1,0.277461,0.404801,0.137880,0.131437,0.142522
1,0.277447,0.404796,0.137878,0.131437,0.142511
1,0.277427,0.404789,0.137880,0.131443,0.142515
1,0.277391,0.404792,0.137889,0.131456,0.142513
1,0.277368,0.404827,0.137910,0.131476,0.142518
1,0.277355,0.404851,0.137919,0.131483,0.142519
1,0.277325,0.404888,0.137918,0.131484,0.142527
