gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
2,0.264174,0.150941,0.158695,0.098645,0.316836
2,0.263651,0.150968,0.158994,0.098640,0.317108
2,0.263232,0.150845,0.159241,0.098707,0.317087
2,0.262939,0.150532,0.160560,0.099352,0.316937
2,0.262748,0.150241,0.160992,0.099754,0.316537
2,0.261556,0.149667,0.161148,0.100541,0.316470
2,0.261035,0.149304,0.160947,0.100660,0.316198
2,0.260929,0.149255,0.160986,0.100897,0.316086
2,0.260869,0.149750,0.161407,0.101603,0.316145
2,0.260778,0.149900,0.161762,0.102294,0.316317
2,0.260873,0.149965,0.161858,0.102603,0.316376
2,0.260849,0.149744,0.161602,0.102986,0.316380
2,0.260797,0.149612,0.161358,0.103156,0.316412
2,0.260716,0.149578,0.161185,0.103341,0.316566
2,0.260693,0.149553,0.161146,0.103455,0.316647
2,0.260730,0.149565,0.161130,0.103562,0.316735
2,0.260794,0.149580,0.161130,0.103623,0.316791
2,0.260877,0.149618,0.161161,0.103678,0.316898
2,0.260969,0.149646,0.161277,0.103758,0.316985
2,0.261091,0.149709,0.161395,0.103819,0.317116
2,0.261199,0.149792,0.161532,0.103909,0.317243
2,0.261235,0.149880,0.161643,0.104003,0.317427
2,0.261267,0.150003,0.161779,0.104221,0.317569
2,0.261330,0.150054,0.161780,0.104340,0.317655
2,0.261283,0.150148,0.161721,0.104545,0.317861
2,0.261243,0.150149,0.161643,0.104903,0.317903
2,0.261162,0.150108,0.161581,0.105270,0.318042
2,0.260837,0.149993,0.160872,0.105600,0.318937
2,0.260687,0.149921,0.160497,0.105812,0.319083
2,0.260564,0.149954,0.160288,0.105932,0.319194
2,0.260474,0.149948,0.160149,0.106056,0.319168
2,0.260454,0.149930,0.159970,0.106177,0.319025
2,0.260358,0.149930,0.159918,0.106405,0.318815
2,0.260351,0.149924,0.159743,0.106474,0.318473
2,0.260385,0.149913,0.159551,0.106501,0.318187
