gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
3,0.418780,0.448868,0.150453,0.185266,0.208521
3,0.419090,0.451358,0.151531,0.186611,0.209230
3,0.420370,0.452993,0.151282,0.186422,0.208710
3,0.420707,0.453356,0.150993,0.186344,0.208690
3,0.420751,0.453347,0.150831,0.186341,0.208593
3,0.420711,0.453303,0.150637,0.186220,0.208475
3,0.420666,0.453267,0.150421,0.186051,0.208215
3,0.420577,0.453202,0.150249,0.185914,0.208001
3,0.420444,0.453159,0.150147,0.185846,0.207905
3,0.420315,0.453135,0.150028,0.185752,0.207786
3,0.420220,0.453157,0.149951,0.185706,0.207729
3,0.420154,0.453179,0.149876,0.185667,0.207667
3,0.420073,0.453173,0.149820,0.185645,0.207630
3,0.419990,0.453107,0.149783,0.185627,0.207562
3,0.419919,0.453073,0.149760,0.185607,0.207508
3,0.419844,0.453134,0.149762,0.185605,0.207467
3,0.419793,0.453178,0.149736,0.185566,0.207403
3,0.419774,0.453196,0.149689,0.185508,0.207349
3,0.419742,0.453227,0.149643,0.185474,0.207308
3,0.419714,0.453290,0.149582,0.185407,0.207180
3,0.419718,0.453350,0.149526,0.185333,0.207051
3,0.419734,0.453327,0.149464,0.185297,0.206961
3,0.419712,0.453324,0.149459,0.185291,0.206932
3,0.419725,0.453265,0.149554,0.185364,0.206973
3,0.419811,0.453179,0.149595,0.185394,0.206987
3,0.419878,0.453159,0.149659,0.185441,0.207030
3,0.419902,0.453188,0.149734,0.185507,0.207081
3,0.419909,0.453222,0.149826,0.185590,0.207153
3,0.419906,0.453306,0.149938,0.185667,0.207208
3,0.419900,0.453351,0.150031,0.185753,0.207281
3,0.419846,0.453489,0.150146,0.185837,0.207338
3,0.419773,0.453610,0.150229,0.185911,0.207430
3,0.419703,0.453723,0.150292,0.185971,0.207500
3,0.419674,0.453789,0.150319,0.186012,0.207542
3,0.419655,0.453868,0.150360,0.186070,0.207581
3,0.419597,0.453928,0.150384,0.186123,0.207615
3,0.419561,0.453974,0.150424,0.186177,0.207653
3,0.419515,0.453992,0.150439,0.186204,0.207660
3,0.419498,0.454013,0.150477,0.186242,0.207692
3,0.419515,0.454021,0.150482,0.186253,0.207699
3,0.419538,0.454042,0.150480,0.186254,0.207703
3,0.419555,0.454064,0.150486,0.186262,0.207741
3,0.419586,0.454110,0.150498,0.186303,0.207738
3,0.419621,0.454138,0.150467,0.186286,0.207712
3,0.419648,0.454179,0.150448,0.186292,0.207676
3,0.419660,0.454220,0.150444,0.186299,0.207651
3,0.419683,0.454226,0.150440,0.186304,0.207633
3,0.419708,0.454220,0.150452,0.186344,0.207600
3,0.419735,0.454208,0.150415,0.186330,0.207557
3,0.419751,0.454171,0.150444,0.186383,0.207529
3,0.419773,0.454191,0.150477,0.186424,0.207503
3,0.419779,0.454209,0.150545,0.186484,0.207500
3,0.419799,0.454254,0.150592,0.186521,0.207464
3,0.419838,0.454308,0.150618,0.186522,0.207405
3,0.419890,0.454437,0.150638,0.186511,0.207346
3,0.419890,0.454437,0.150638,0.186511,0.207346
3,0.420104,0.454449,0.150657,0.186506,0.207323
3,0.420104,0.454449,0.150657,0.186506,0.207323
3,0.420248,0.454416,0.150647,0.186487,0.207276
3,0.420433,0.454390,0.150604,0.186410,0.207180
3,0.420533,0.454371,0.150526,0.186326,0.207115
3,0.420586,0.454333,0.150457,0.186231,0.207037
3,0.420638,0.454289,0.150399,0.186144,0.206948
3,0.420673,0.454244,0.150362,0.186074,0.206894
3,0.420887,0.454441,0.149531,0.185280,0.206274
3,0.421107,0.454655,0.148909,0.184705,0.205834
3,0.421284,0.454753,0.148429,0.184261,0.205405
3,0.421436,0.454812,0.148069,0.183888,0.205063
3,0.421592,0.454813,0.147846,0.183677,0.204870
3,0.421717,0.454759,0.147677,0.183511,0.204721
3,0.421803,0.454724,0.147504,0.183360,0.204567
3,0.421885,0.454670,0.147383,0.183252,0.204467
3,0.421919,0.454637,0.147297,0.183162,0.204379
3,0.421949,0.454618,0.147234,0.183081,0.204309
3,0.421949,0.454570,0.147183,0.183002,0.204221
3,0.421931,0.454570,0.147156,0.182932,0.204139
3,0.421893,0.454606,0.147143,0.182899,0.204096
3,0.421846,0.454635,0.147111,0.182868,0.204066
3,0.421815,0.454655,0.147073,0.182843,0.204040
3,0.421757,0.454701,0.147019,0.182809,0.204019
3,0.421757,0.454701,0.147019,0.182809,0.204019
3,0.421730,0.454679,0.147007,0.182801,0.204032
3,0.421729,0.454681,0.147012,0.182801,0.204039
3,0.421750,0.454735,0.147019,0.182797,0.204049
3,0.421766,0.454798,0.147048,0.182805,0.204056
3,0.421778,0.454837,0.147062,0.182798,0.204052
3,0.421865,0.454888,0.147113,0.182826,0.204173
3,0.421915,0.454887,0.147215,0.182887,0.204278
3,0.421962,0.454896,0.147310,0.182965,0.204320
3,0.421950,0.454880,0.147403,0.183011,0.204313
3,0.422020,0.454862,0.147418,0.183027,0.204248
3,0.422067,0.454830,0.147429,0.183038,0.204194
3,0.422122,0.454761,0.147337,0.182985,0.204106
3,0.422176,0.454721,0.147249,0.182908,0.203999
3,0.422253,0.454702,0.147182,0.182870,0.203943
3,0.422321,0.454679,0.147100,0.182802,0.203900
3,0.422384,0.454657,0.146984,0.182716,0.203826
3,0.422452,0.454595,0.146900,0.182617,0.203693
3,0.422517,0.454492,0.146827,0.182540,0.203606
3,0.422541,0.454447,0.146798,0.182472,0.203577
3,0.422552,0.454411,0.146801,0.182442,0.203584
3,0.422557,0.454363,0.146806,0.182428,0.203608
3,0.422589,0.454379,0.146815,0.182428,0.203602
3,0.422629,0.454378,0.146865,0.182446,0.203598
3,0.422674,0.454378,0.146909,0.182459,0.203584
3,0.422708,0.454392,0.146945,0.182472,0.203567
3,0.422727,0.454412,0.146984,0.182495,0.203580
3,0.422727,0.454455,0.147024,0.182545,0.203650
3,0.422719,0.454510,0.147067,0.182598,0.203699
3,0.422727,0.454578,0.147114,0.182630,0.203720
3,0.422785,0.454649,0.147186,0.182694,0.203777
3,0.422902,0.454742,0.147317,0.182804,0.203925
3,0.423013,0.454800,0.147429,0.182887,0.204053
3,0.423076,0.454843,0.147533,0.182968,0.204171
3,0.423085,0.454889,0.147650,0.183047,0.204267
3,0.423083,0.454925,0.147728,0.183111,0.204359
3,0.423104,0.454962,0.147880,0.183242,0.204511
3,0.423127,0.455044,0.148123,0.183432,0.204687
3,0.423161,0.455115,0.148274,0.183592,0.204829
3,0.423230,0.455125,0.148419,0.183765,0.205004
3,0.423269,0.455099,0.148531,0.183860,0.205107
3,0.423267,0.455061,0.148659,0.183985,0.205254
3,0.423200,0.455062,0.148801,0.184123,0.205356
3,0.423109,0.455092,0.148944,0.184270,0.205492
3,0.423086,0.455099,0.149012,0.184314,0.205547
3,0.423093,0.455086,0.149060,0.184392,0.205628
3,0.423160,0.455084,0.149074,0.184430,0.205696
3,0.423211,0.455066,0.149096,0.184462,0.205743
3,0.423294,0.455029,0.149033,0.184454,0.205713
3,0.423368,0.454948,0.148864,0.184433,0.205645
3,0.423365,0.454869,0.148727,0.184402,0.205578
3,0.423399,0.454709,0.148573,0.184294,0.205463
3,0.423502,0.454546,0.148299,0.184160,0.205305
3,0.423622,0.454510,0.148237,0.184138,0.205295
3,0.423732,0.454494,0.148218,0.184137,0.205291
3,0.423849,0.454545,0.148199,0.184117,0.205308
3,0.423985,0.454542,0.148163,0.184081,0.205307
3,0.424136,0.454543,0.148129,0.184048,0.205300
3,0.424295,0.454545,0.148117,0.184002,0.205281
3,0.424495,0.454572,0.148049,0.183929,0.205239
3,0.424556,0.454555,0.147999,0.183847,0.205163
3,0.424632,0.454511,0.147934,0.183723,0.205014
3,0.424671,0.454402,0.147896,0.183664,0.204967
3,0.424724,0.454339,0.147919,0.183658,0.204928
3,0.424760,0.454329,0.147934,0.183684,0.204912
3,0.424776,0.454363,0.147946,0.183673,0.204868
3,0.424758,0.454441,0.147960,0.183671,0.204841
3,0.424760,0.454503,0.147960,0.183643,0.204800
3,0.424712,0.454529,0.147985,0.183623,0.204780
3,0.424682,0.454629,0.147983,0.183604,0.204762
3,0.424626,0.454719,0.148002,0.183598,0.204763
3,0.424562,0.454753,0.148000,0.183582,0.204758
3,0.424530,0.454755,0.148194,0.183674,0.204820
3,0.424505,0.454732,0.148237,0.183697,0.204862
3,0.424484,0.454736,0.148309,0.183745,0.204935
3,0.424482,0.454745,0.148384,0.183772,0.204972
3,0.424463,0.454766,0.148477,0.183817,0.205000
