gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
1,0.242557,0.270611,0.115775,0.134033,0.159724
1,0.238331,0.373456,0.126166,0.145011,0.168300
1,0.230615,0.405543,0.134753,0.151293,0.173742
1,0.228324,0.412419,0.138470,0.154260,0.175494
1,0.227040,0.415368,0.140505,0.156697,0.177176
1,0.226400,0.416918,0.141280,0.157156,0.177736
1,0.225918,0.418107,0.140996,0.156760,0.178081
1,0.225516,0.418592,0.140811,0.156466,0.178053
1,0.225349,0.418725,0.140656,0.156030,0.177783
1,0.225800,0.418868,0.140680,0.155909,0.177369
1,0.225998,0.419093,0.140759,0.155972,0.177188
1,0.226088,0.419389,0.140928,0.156033,0.177320
1,0.226109,0.419535,0.141245,0.156245,0.177424
1,0.225954,0.419732,0.141875,0.156611,0.177486
1,0.226124,0.419706,0.142135,0.156972,0.177502
1,0.226088,0.419540,0.142229,0.157216,0.177592
1,0.226101,0.419273,0.142259,0.157303,0.177527
1,0.226038,0.419122,0.142295,0.157389,0.177506
1,0.226049,0.418922,0.142298,0.157432,0.177523
1,0.226043,0.418744,0.142298,0.157470,0.177536
1,0.226018,0.418590,0.142312,0.157541,0.177538
1,0.225998,0.418412,0.142309,0.157597,0.177543
1,0.225887,0.418229,0.142330,0.157705,0.177592
1,0.225817,0.418169,0.142362,0.157846,0.177663
1,0.225676,0.417989,0.142382,0.157951,0.177735
1,0.225629,0.417849,0.142425,0.158036,0.177788
1,0.225574,0.417751,0.142450,0.158084,0.177820
1,0.225549,0.417688,0.142442,0.158104,0.177867
1,0.225498,0.417588,0.142453,0.158101,0.177922
1,0.225510,0.417524,0.142435,0.158074,0.177959
1,0.225567,0.417606,0.142444,0.158092,0.177987
1,0.225581,0.417726,0.142453,0.158089,0.178014
1,0.225572,0.417787,0.142447,0.158057,0.178034
1,0.225587,0.417846,0.142462,0.158062,0.178051
1,0.225590,0.417872,0.142488,0.158079,0.178087
1,0.225589,0.417916,0.142491,0.158086,0.178110
1,0.225578,0.417957,0.142499,0.158087,0.178146
1,0.225549,0.417974,0.142505,0.158095,0.178182
1,0.225503,0.417975,0.142520,0.158109,0.178224
