gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
5,0.224911,0.498451,0.529052,0.486143,0.200331
5,0.224488,0.498782,0.529595,0.487004,0.201102
5,0.224372,0.498770,0.529953,0.487542,0.202074
5,0.224702,0.498694,0.530250,0.487962,0.202572
5,0.225240,0.498558,0.530338,0.488077,0.202915
5,0.225577,0.498468,0.530376,0.488090,0.203072
5,0.226028,0.498310,0.530204,0.488161,0.202739
5,0.226337,0.498189,0.530136,0.488184,0.202335
5,0.226474,0.498102,0.530088,0.488162,0.202129
5,0.226548,0.498081,0.530070,0.488138,0.201974
5,0.226650,0.498015,0.530095,0.488173,0.200919
5,0.226655,0.498003,0.530129,0.488305,0.200549
5,0.226652,0.498030,0.530189,0.488449,0.200101
5,0.226639,0.498068,0.530331,0.488626,0.199796
5,0.226537,0.498087,0.530475,0.488694,0.199463
5,0.226493,0.498125,0.530641,0.488792,0.199193
5,0.226481,0.498162,0.530795,0.488846,0.199087
5,0.226432,0.498178,0.530824,0.488864,0.199048
5,0.226374,0.498215,0.530909,0.488917,0.198894
5,0.226243,0.498244,0.531068,0.488944,0.198903
5,0.226079,0.498299,0.531254,0.489089,0.198846
5,0.225966,0.498340,0.531342,0.489139,0.198820
5,0.225853,0.498392,0.531420,0.489143,0.198738
5,0.225682,0.498464,0.531463,0.489168,0.198534
5,0.225454,0.498483,0.531488,0.489175,0.198370
5,0.225265,0.498490,0.531550,0.489119,0.198287
5,0.225106,0.498474,0.531544,0.489031,0.198148
5,0.224952,0.498447,0.531533,0.488922,0.198086
5,0.224869,0.498415,0.531529,0.488805,0.198026
5,0.224812,0.498371,0.531532,0.488653,0.197971
5,0.224741,0.498316,0.531528,0.488522,0.197906
5,0.224687,0.498287,0.531493,0.488406,0.197846
5,0.224653,0.498233,0.531456,0.488254,0.197829
5,0.224660,0.498146,0.531391,0.488065,0.197848
5,0.224659,0.498061,0.531307,0.487895,0.197803
5,0.224682,0.497994,0.531206,0.487703,0.197841
5,0.224686,0.497903,0.531049,0.487525,0.197852
5,0.224700,0.497811,0.530906,0.487394,0.197780
5,0.224752,0.497742,0.530770,0.487247,0.197809
5,0.224782,0.497663,0.530673,0.487124,0.197783
5,0.224781,0.497573,0.530616,0.487010,0.197692
5,0.224835,0.497421,0.530530,0.486869,0.197613
5,0.224960,0.497351,0.530400,0.486723,0.197506
5,0.225028,0.497298,0.530322,0.486632,0.197387
5,0.225087,0.497233,0.530232,0.486544,0.197298
5,0.225194,0.497144,0.530156,0.486462,0.197203
5,0.225252,0.497072,0.530107,0.486406,0.197109
5,0.225301,0.496952,0.530038,0.486306,0.197067
5,0.225319,0.496864,0.529919,0.486167,0.196978
5,0.225678,0.496608,0.529704,0.486023,0.196626
5,0.225678,0.496608,0.529704,0.486023,0.196626
5,0.225887,0.496547,0.529378,0.485818,0.195909
5,0.225914,0.496532,0.529260,0.485746,0.195644
5,0.225992,0.496504,0.529149,0.485726,0.195303
5,0.226048,0.496487,0.529035,0.485683,0.195107
5,0.226135,0.496448,0.528878,0.485629,0.194804
5,0.226252,0.496408,0.528797,0.485798,0.194075
5,0.226312,0.496417,0.528759,0.485918,0.193652
5,0.226320,0.496458,0.528752,0.485984,0.193464
5,0.226331,0.496631,0.528909,0.486202,0.193190
5,0.226277,0.496821,0.528957,0.486278,0.192938
5,0.226229,0.496951,0.529007,0.486263,0.192958
5,0.226217,0.497069,0.529035,0.486200,0.193229
5,0.226229,0.497121,0.529047,0.486103,0.193442
5,0.226228,0.497136,0.529042,0.485987,0.193685
5,0.226269,0.497141,0.529015,0.485845,0.193871
5,0.226275,0.497164,0.528991,0.485789,0.194026
5,0.226331,0.497185,0.528966,0.485752,0.194102
5,0.226403,0.497181,0.528927,0.485727,0.194126
5,0.226491,0.497180,0.528950,0.485742,0.194256
5,0.226525,0.497119,0.529009,0.485694,0.194702
5,0.226608,0.497092,0.529030,0.485635,0.195028
5,0.226692,0.497081,0.529063,0.485626,0.195087
5,0.226714,0.497081,0.529102,0.485623,0.195179
5,0.226711,0.497082,0.529146,0.485640,0.195232
5,0.226718,0.497109,0.529187,0.485675,0.195261
5,0.226718,0.497139,0.529265,0.485749,0.195218
5,0.226730,0.497167,0.529328,0.485807,0.195168
5,0.226764,0.497189,0.529408,0.485884,0.195109
5,0.226798,0.497211,0.529489,0.485922,0.195196
5,0.226833,0.497234,0.529541,0.485931,0.195175
5,0.226791,0.497223,0.529630,0.485929,0.195173
5,0.226726,0.497252,0.529721,0.485949,0.194993
5,0.226717,0.497297,0.529792,0.485972,0.194865
5,0.226703,0.497352,0.529854,0.485899,0.194820
5,0.226693,0.497379,0.529920,0.485843,0.194777
5,0.226670,0.497407,0.529982,0.485779,0.194814
5,0.226655,0.497391,0.530016,0.485659,0.194896
5,0.226660,0.497385,0.530006,0.485530,0.195066
5,0.226689,0.497386,0.529975,0.485440,0.195144
