gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
2,0.322104,0.127735,0.153975,0.152464,0.346700
2,0.322104,0.127735,0.153975,0.152464,0.346700
2,0.322528,0.127981,0.154611,0.152842,0.346796
2,0.322770,0.128226,0.155110,0.153261,0.347057
2,0.323023,0.128430,0.155513,0.153645,0.347514
2,0.323166,0.128648,0.155985,0.154247,0.348117
2,0.323318,0.128869,0.156382,0.154889,0.348498
2,0.323448,0.129104,0.156696,0.155583,0.348888
2,0.323520,0.129269,0.156935,0.156381,0.349568
2,0.323655,0.129417,0.157171,0.156969,0.350636
2,0.323758,0.129520,0.157332,0.157207,0.351123
2,0.323828,0.129645,0.157443,0.157425,0.351505
2,0.323892,0.129840,0.157570,0.157748,0.351859
2,0.323947,0.129964,0.157600,0.157896,0.352471
2,0.324024,0.129998,0.157703,0.158116,0.353349
2,0.324138,0.130049,0.157738,0.158209,0.353895
2,0.324212,0.130138,0.157781,0.158298,0.354416
2,0.324191,0.130205,0.157847,0.158464,0.355436
2,0.324199,0.130302,0.157834,0.158571,0.355691
2,0.324173,0.130387,0.157863,0.158757,0.356026
2,0.324161,0.130444,0.157942,0.158923,0.356432
2,0.324200,0.130484,0.157955,0.159086,0.356797
2,0.324184,0.130507,0.158011,0.159189,0.357198
2,0.324166,0.130552,0.158221,0.159281,0.357542
2,0.324188,0.130585,0.158338,0.159338,0.357848
2,0.324229,0.130633,0.158454,0.159426,0.358296
2,0.324293,0.130718,0.158422,0.159381,0.358736
2,0.324330,0.130805,0.158395,0.159313,0.359086
2,0.324407,0.130871,0.158393,0.159336,0.359255
2,0.324516,0.130952,0.158391,0.159377,0.359638
2,0.324599,0.131050,0.158475,0.159510,0.360067
2,0.324702,0.131257,0.158689,0.159956,0.360787
2,0.324666,0.131323,0.158695,0.160022,0.361043
2,0.324666,0.131323,0.158695,0.160022,0.361043
2,0.324650,0.131375,0.158744,0.160190,0.361295
2,0.324621,0.131454,0.158800,0.160425,0.361546
2,0.324638,0.131533,0.158780,0.160542,0.361758
2,0.324620,0.131623,0.158718,0.160665,0.361856
2,0.324685,0.131703,0.158622,0.160839,0.361846
2,0.324649,0.131752,0.158614,0.160863,0.361825
2,0.324608,0.131807,0.158641,0.161058,0.361841
2,0.324556,0.131877,0.158588,0.161070,0.361855
2,0.324605,0.131946,0.158535,0.161080,0.361783
2,0.324578,0.131962,0.158479,0.161041,0.361813
2,0.324556,0.131946,0.158397,0.160950,0.361856
2,0.324507,0.131944,0.158316,0.160925,0.362024
2,0.324527,0.131971,0.158286,0.160927,0.362077
2,0.324532,0.131999,0.158221,0.160948,0.362379
2,0.324419,0.132020,0.158252,0.161049,0.363117
2,0.324345,0.132043,0.158268,0.161049,0.363526
2,0.324256,0.132007,0.158221,0.160893,0.364032
2,0.324144,0.131975,0.158124,0.160739,0.364329
2,0.323878,0.131982,0.158118,0.160538,0.365468
2,0.323878,0.131982,0.158118,0.160538,0.365468
2,0.323738,0.131967,0.158033,0.160450,0.365601
2,0.323527,0.131877,0.157923,0.160255,0.365710
2,0.323366,0.131848,0.157887,0.160040,0.365718
2,0.323278,0.131857,0.157888,0.159956,0.365734
2,0.323267,0.131875,0.157878,0.159856,0.365689
2,0.323220,0.131939,0.157935,0.159811,0.365641
2,0.323148,0.132023,0.158040,0.159915,0.365712
2,0.323097,0.132078,0.158105,0.159927,0.365918
2,0.323048,0.132128,0.158185,0.159945,0.365988
2,0.323019,0.132171,0.158190,0.159992,0.365864
2,0.322985,0.132177,0.158231,0.160150,0.365567
2,0.322889,0.132180,0.158232,0.160186,0.365199
