gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
3,0.385031,0.433582,0.132654,0.143575,0.163116
3,0.384733,0.433877,0.132874,0.143861,0.163104
3,0.384433,0.434176,0.133070,0.144074,0.163111
3,0.384331,0.434395,0.133155,0.144250,0.163165
3,0.384328,0.434538,0.133212,0.144330,0.163201
3,0.384322,0.434770,0.133306,0.144423,0.163284
3,0.384288,0.434911,0.133408,0.144492,0.163348
3,0.384257,0.435029,0.133483,0.144520,0.163369
3,0.384230,0.435232,0.133556,0.144546,0.163443
3,0.384287,0.435386,0.133609,0.144609,0.163506
3,0.384292,0.435430,0.133632,0.144650,0.163571
3,0.384361,0.435414,0.133662,0.144701,0.163646
3,0.384493,0.435355,0.133681,0.144747,0.163712
3,0.384602,0.435324,0.133691,0.144761,0.163802
3,0.384721,0.435334,0.133723,0.144826,0.163878
3,0.384794,0.435357,0.133677,0.144908,0.163848
3,0.384842,0.435455,0.133684,0.145029,0.163879
3,0.385344,0.435425,0.133624,0.145116,0.163760
3,0.385622,0.435489,0.133602,0.145258,0.163667
3,0.386004,0.435560,0.133527,0.145325,0.163483
3,0.385974,0.435620,0.133464,0.145382,0.163440
3,0.385911,0.435605,0.133455,0.145410,0.163493
3,0.385830,0.435817,0.133518,0.145470,0.163808
3,0.385694,0.436156,0.133570,0.145551,0.164043
3,0.385677,0.436406,0.133644,0.145645,0.164232
3,0.385659,0.436494,0.133704,0.145738,0.164321
3,0.385624,0.436516,0.133756,0.145759,0.164356
3,0.385666,0.436549,0.133835,0.145828,0.164433
3,0.385630,0.436653,0.133897,0.145860,0.164464
3,0.385567,0.436819,0.133919,0.145907,0.164470
3,0.385567,0.436939,0.133930,0.145958,0.164453
3,0.385572,0.437095,0.133948,0.146015,0.164487
3,0.385557,0.437238,0.133919,0.146050,0.164501
3,0.385501,0.437307,0.133911,0.146083,0.164513
3,0.385529,0.437298,0.133835,0.146086,0.164505
3,0.385607,0.437290,0.133803,0.146084,0.164495
3,0.385709,0.437322,0.133782,0.146078,0.164494
3,0.385832,0.437322,0.133784,0.146073,0.164491
3,0.385902,0.437355,0.133753,0.146051,0.164476
3,0.385903,0.437360,0.133741,0.146047,0.164488
3,0.385925,0.437511,0.133788,0.146093,0.164533
3,0.386014,0.437653,0.133829,0.146115,0.164571
3,0.386029,0.437799,0.133892,0.146155,0.164612
3,0.386003,0.437861,0.133946,0.146185,0.164666
3,0.386033,0.437919,0.134010,0.146224,0.164713
3,0.386184,0.437955,0.134078,0.146288,0.164777
3,0.386209,0.438029,0.134150,0.146347,0.164874
3,0.386325,0.438100,0.134178,0.146367,0.164950
3,0.386413,0.438146,0.134246,0.146379,0.165002
3,0.386520,0.438306,0.134287,0.146402,0.165082
3,0.386789,0.438186,0.134436,0.146415,0.165186
3,0.386910,0.437959,0.134491,0.146387,0.165260
3,0.387107,0.437823,0.134559,0.146378,0.165334
3,0.387534,0.437452,0.134595,0.146397,0.165435
3,0.387816,0.437479,0.134551,0.146393,0.165445
3,0.388085,0.437844,0.134468,0.146411,0.165477
3,0.388085,0.437844,0.134468,0.146411,0.165477
3,0.388360,0.438036,0.134409,0.146426,0.165477
3,0.388401,0.438230,0.134395,0.146444,0.165449
3,0.388589,0.438302,0.134370,0.146465,0.165432
3,0.388698,0.438388,0.134371,0.146511,0.165415
3,0.388803,0.438444,0.134379,0.146550,0.165404
3,0.388830,0.438510,0.134357,0.146563,0.165397
3,0.388908,0.438557,0.134365,0.146589,0.165409
3,0.388974,0.438616,0.134367,0.146592,0.165424
3,0.389014,0.438646,0.134373,0.146594,0.165462
3,0.389061,0.438704,0.134421,0.146630,0.165517
3,0.389108,0.438751,0.134461,0.146668,0.165597
3,0.389159,0.438752,0.134484,0.146687,0.165634
3,0.389223,0.438648,0.134471,0.146686,0.165674
