gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
5,0.193906,0.443597,0.442413,0.393461,0.203067
5,0.195521,0.449371,0.455112,0.395894,0.208745
5,0.196595,0.451634,0.460313,0.397215,0.210844
5,0.197631,0.453420,0.463184,0.398907,0.212897
5,0.197900,0.455114,0.465297,0.400101,0.213780
5,0.198047,0.456132,0.466317,0.400782,0.214681
5,0.198081,0.456739,0.467050,0.401326,0.215328
5,0.198457,0.457272,0.467861,0.401777,0.216033
5,0.198599,0.457551,0.468393,0.402067,0.216614
5,0.198753,0.457743,0.468771,0.402179,0.216898
5,0.198833,0.457837,0.468990,0.402257,0.217359
5,0.198874,0.457749,0.469209,0.402418,0.217669
5,0.198834,0.457618,0.469306,0.402436,0.217982
5,0.198813,0.457413,0.469363,0.402459,0.218274
5,0.198722,0.457299,0.469441,0.402433,0.218509
5,0.198600,0.457281,0.469544,0.402456,0.218709
5,0.198517,0.457271,0.469592,0.402369,0.218918
5,0.198416,0.457249,0.469666,0.402326,0.219097
5,0.198335,0.457267,0.469704,0.402330,0.219225
5,0.198244,0.457257,0.469812,0.402408,0.219364
5,0.198215,0.457360,0.470050,0.402426,0.219485
5,0.198253,0.457413,0.470156,0.402416,0.219622
5,0.198184,0.457506,0.470250,0.402411,0.219815
5,0.198181,0.457608,0.470306,0.402455,0.220024
5,0.198264,0.457698,0.470451,0.402534,0.220163
5,0.198325,0.457804,0.470631,0.402581,0.220312
5,0.198294,0.457990,0.470754,0.402596,0.220456
5,0.198331,0.458102,0.470806,0.402679,0.220614
5,0.198306,0.458207,0.470844,0.402731,0.220778
5,0.198296,0.458288,0.470879,0.402784,0.221003
5,0.198421,0.458711,0.470826,0.402324,0.221419
5,0.198421,0.458711,0.470826,0.402324,0.221419
5,0.198518,0.458808,0.470883,0.402129,0.221493
5,0.198565,0.459015,0.471375,0.401810,0.221313
5,0.198698,0.460201,0.471322,0.401226,0.221118
5,0.198698,0.460201,0.471322,0.401226,0.221118
5,0.198519,0.460319,0.471274,0.401187,0.221077
5,0.198389,0.460307,0.471389,0.401145,0.221088
5,0.198479,0.460291,0.471475,0.401059,0.220916
5,0.198765,0.460258,0.471538,0.400906,0.220892
5,0.198966,0.460313,0.471645,0.400911,0.220906
5,0.199165,0.460408,0.471700,0.400797,0.221080
5,0.199270,0.460509,0.471846,0.400822,0.221260
5,0.199268,0.460633,0.472004,0.400896,0.221473
5,0.199253,0.460763,0.472140,0.400875,0.221587
5,0.199210,0.460846,0.472298,0.400853,0.221677
5,0.199175,0.460935,0.472407,0.400894,0.221773
5,0.199120,0.461072,0.472525,0.400832,0.221857
5,0.198974,0.461159,0.472712,0.400808,0.221777
5,0.198792,0.461248,0.473008,0.400452,0.221459
5,0.198859,0.461268,0.473129,0.399905,0.221029
5,0.199016,0.461271,0.473139,0.399463,0.220785
5,0.199155,0.461277,0.473158,0.399150,0.220654
5,0.199443,0.461202,0.473017,0.398718,0.220491
5,0.199517,0.461058,0.472803,0.398105,0.220215
5,0.199622,0.460917,0.472685,0.397593,0.220002
5,0.199721,0.460729,0.472556,0.397099,0.219914
5,0.199893,0.460446,0.472399,0.396747,0.219761
5,0.200057,0.460145,0.472238,0.396388,0.219520
5,0.200201,0.459848,0.471992,0.395975,0.219149
5,0.200337,0.459562,0.471789,0.395722,0.218798
5,0.200461,0.459361,0.471493,0.395537,0.218695
5,0.200501,0.459020,0.471347,0.395310,0.218565
5,0.200540,0.458700,0.471197,0.395151,0.218317
5,0.200533,0.458460,0.471133,0.395153,0.218231
5,0.200545,0.458201,0.471063,0.395173,0.218216
5,0.200510,0.458019,0.470898,0.395135,0.218210
5,0.200545,0.457866,0.470789,0.395097,0.218224
5,0.200479,0.457698,0.470745,0.395127,0.218345
5,0.200410,0.457548,0.470732,0.395191,0.218485
5,0.200270,0.457472,0.470783,0.395259,0.218603
5,0.200203,0.457373,0.470775,0.395234,0.218690
5,0.200109,0.457258,0.470802,0.395193,0.218791
5,0.200031,0.457174,0.470864,0.395169,0.218838
5,0.199987,0.457101,0.470910,0.395149,0.218891
5,0.199972,0.457009,0.470909,0.395097,0.218934
5,0.200036,0.456912,0.470883,0.395054,0.218955
5,0.200077,0.456867,0.470802,0.394982,0.218935
5,0.200090,0.456809,0.470747,0.394863,0.218879
5,0.200172,0.456748,0.470725,0.394814,0.218800
5,0.200257,0.456678,0.470637,0.394703,0.218660
5,0.200337,0.456577,0.470506,0.394512,0.218480
5,0.200458,0.456454,0.470395,0.394403,0.218221
5,0.200555,0.456262,0.470185,0.394301,0.218015
5,0.200620,0.456059,0.470042,0.394234,0.217888
5,0.200821,0.455660,0.469536,0.394096,0.217502
5,0.201139,0.455387,0.468842,0.393768,0.217196
5,0.201194,0.455137,0.468158,0.393384,0.216972
5,0.201307,0.454902,0.467727,0.392464,0.216663
5,0.201443,0.454614,0.467058,0.391502,0.216328
5,0.201439,0.454359,0.466434,0.390888,0.216079
5,0.201394,0.454115,0.466058,0.390277,0.215922
5,0.201350,0.453975,0.465661,0.389867,0.215767
5,0.201121,0.453689,0.465428,0.389659,0.215527
5,0.201057,0.453434,0.465106,0.389504,0.215382
5,0.200993,0.453239,0.464958,0.389446,0.215211
5,0.200912,0.453128,0.464933,0.389486,0.215170
5,0.200811,0.453069,0.464946,0.389593,0.215311
5,0.200797,0.452991,0.464933,0.389614,0.215462
5,0.200794,0.452954,0.465018,0.389751,0.215674
5,0.200801,0.452945,0.465079,0.389955,0.215806
5,0.200813,0.452952,0.465220,0.390104,0.215914
5,0.200835,0.453063,0.465337,0.390206,0.215956
5,0.200821,0.453136,0.465476,0.390328,0.216023
5,0.200825,0.453238,0.465626,0.390437,0.216030
5,0.200830,0.453307,0.465733,0.390480,0.216009
5,0.200849,0.453328,0.465821,0.390482,0.216008
5,0.200869,0.453401,0.465934,0.390530,0.216008
5,0.200903,0.453426,0.466119,0.390544,0.216130
5,0.200971,0.453429,0.466260,0.390586,0.216178
5,0.200971,0.453381,0.466358,0.390627,0.216197
5,0.200907,0.453264,0.466414,0.390765,0.216265
5,0.200920,0.453135,0.466439,0.390840,0.216317
