gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
9,0.244498,0.493899,0.508143,0.332653,0.416359
9,0.246938,0.494644,0.505098,0.320524,0.413346
9,0.247302,0.495040,0.503078,0.314162,0.411799
9,0.247661,0.494834,0.500867,0.312192,0.411291
9,0.247744,0.494441,0.499701,0.310781,0.410640
9,0.247766,0.494153,0.499035,0.309291,0.410452
9,0.247819,0.493938,0.498706,0.308151,0.410304
9,0.247860,0.493793,0.498401,0.307716,0.410260
9,0.247927,0.493659,0.498174,0.307599,0.410228
9,0.248088,0.493555,0.498068,0.307657,0.410205
9,0.248212,0.493466,0.497881,0.307906,0.410212
9,0.248421,0.493337,0.497812,0.308457,0.410298
9,0.248503,0.493328,0.497874,0.308738,0.410361
9,0.248585,0.493291,0.497900,0.308952,0.410452
9,0.248690,0.493292,0.498014,0.309199,0.410525
9,0.248754,0.493287,0.498141,0.309226,0.410533
9,0.248768,0.493333,0.498289,0.309106,0.410572
9,0.248836,0.493355,0.498429,0.309045,0.410612
9,0.248969,0.493418,0.498540,0.309189,0.410757
9,0.249091,0.493464,0.498600,0.309366,0.410883
9,0.249284,0.493488,0.498687,0.309299,0.410878
9,0.249398,0.493535,0.498905,0.309161,0.410824
9,0.249788,0.493738,0.499109,0.309132,0.410796
9,0.249874,0.493865,0.499397,0.309028,0.410754
9,0.250013,0.493916,0.499590,0.309221,0.410679
9,0.250225,0.494055,0.499812,0.309346,0.410624
9,0.250339,0.494192,0.499958,0.309387,0.410559
9,0.250288,0.494185,0.500164,0.309440,0.410408
9,0.250207,0.494344,0.500384,0.309382,0.410276
9,0.250053,0.494326,0.500512,0.309537,0.410179
9,0.249948,0.494265,0.500618,0.309634,0.410061
9,0.249770,0.494233,0.500709,0.309988,0.410028
9,0.249343,0.494243,0.500794,0.310207,0.409975
9,0.248901,0.494181,0.500897,0.310912,0.409970
9,0.248828,0.494101,0.500946,0.311197,0.409965
9,0.248727,0.494037,0.501053,0.311521,0.409871
9,0.248719,0.493878,0.501079,0.311899,0.409863
9,0.248757,0.493763,0.501203,0.312100,0.409828
9,0.248754,0.493624,0.501291,0.312554,0.409867
9,0.248787,0.493516,0.501383,0.312715,0.409937
9,0.248810,0.493457,0.501455,0.312716,0.409999
9,0.248769,0.493401,0.501412,0.312816,0.410041
9,0.248735,0.493345,0.501351,0.312829,0.410052
9,0.248662,0.493326,0.501326,0.312784,0.410087
9,0.248632,0.493371,0.501282,0.312745,0.410214
9,0.248612,0.493340,0.501256,0.312729,0.410390
9,0.248531,0.493414,0.501274,0.312603,0.410561
9,0.248336,0.493401,0.501274,0.312519,0.410632
9,0.248230,0.493392,0.501215,0.312450,0.410640
9,0.248099,0.493327,0.501128,0.312427,0.410633
9,0.247977,0.493312,0.501062,0.312387,0.410611
9,0.247777,0.493254,0.500984,0.312383,0.410574
9,0.247394,0.493179,0.500871,0.312507,0.410556
9,0.247237,0.493095,0.500800,0.312500,0.410590
9,0.247224,0.493033,0.500694,0.312546,0.410643
9,0.247202,0.492946,0.500517,0.312435,0.410661
9,0.246625,0.493030,0.500415,0.311973,0.410791
9,0.246397,0.493155,0.500277,0.311709,0.410903
9,0.246227,0.493572,0.499904,0.311417,0.411015
9,0.246040,0.493883,0.499505,0.311224,0.411136
9,0.245760,0.494087,0.498419,0.311135,0.411333
9,0.245777,0.494171,0.498196,0.311018,0.411399
9,0.245777,0.494171,0.498196,0.311018,0.411399
9,0.245830,0.493747,0.497620,0.310672,0.411455
9,0.245830,0.493747,0.497620,0.310672,0.411455
9,0.245823,0.493689,0.497402,0.310338,0.411536
9,0.245823,0.493689,0.497402,0.310338,0.411536
9,0.245872,0.493605,0.497294,0.309909,0.411523
9,0.245890,0.493578,0.497188,0.309499,0.411510
9,0.245672,0.493534,0.497103,0.309167,0.411463
9,0.245463,0.493494,0.496954,0.309021,0.411384
9,0.245249,0.493544,0.496916,0.308816,0.411273
9,0.245162,0.493490,0.496826,0.308768,0.411221
9,0.245204,0.493443,0.496643,0.308693,0.411131
9,0.245235,0.493415,0.496489,0.308572,0.411074
9,0.245312,0.493216,0.496228,0.308831,0.410974
9,0.245487,0.493180,0.496059,0.308809,0.410906
9,0.245648,0.493170,0.495966,0.308577,0.410799
9,0.245821,0.493218,0.495862,0.308575,0.410777
9,0.245918,0.493229,0.495780,0.308578,0.410740
9,0.246012,0.493234,0.495751,0.308604,0.410687
9,0.246119,0.493295,0.495757,0.308618,0.410778
9,0.246187,0.493439,0.495790,0.308556,0.410780
9,0.246103,0.493513,0.495808,0.308431,0.410671
9,0.245981,0.493588,0.495833,0.308144,0.410576
9,0.245893,0.493643,0.495862,0.307892,0.410462
9,0.245796,0.493607,0.495991,0.307696,0.410282
9,0.245760,0.493649,0.496056,0.307625,0.410294
9,0.245758,0.493669,0.496080,0.307473,0.410311
9,0.245666,0.493692,0.496170,0.307380,0.410293
9,0.245545,0.493721,0.496301,0.307367,0.410228
9,0.245360,0.493785,0.496425,0.307158,0.410127
9,0.245233,0.493855,0.496540,0.306923,0.410054
9,0.245148,0.493899,0.496654,0.306919,0.410006
9,0.245188,0.493947,0.496762,0.306909,0.410011
9,0.245256,0.493987,0.496848,0.306754,0.410005
9,0.245473,0.493989,0.496899,0.306552,0.409981
9,0.245952,0.493902,0.496957,0.306469,0.409929
9,0.246193,0.493779,0.496968,0.306330,0.409777
9,0.246141,0.493709,0.497119,0.306015,0.409480
9,0.246452,0.493610,0.497086,0.306180,0.409366
9,0.246652,0.493322,0.497502,0.305846,0.409662
9,0.246869,0.493331,0.497722,0.305426,0.409670
9,0.246863,0.493475,0.498137,0.305172,0.409649
9,0.246938,0.493512,0.498412,0.305152,0.409527
9,0.247059,0.493802,0.498632,0.305142,0.409494
9,0.247179,0.493967,0.498793,0.305301,0.409403
9,0.247348,0.493998,0.498891,0.305485,0.409269
9,0.247669,0.494059,0.498966,0.305601,0.409220
9,0.248006,0.494134,0.498948,0.305571,0.409330
9,0.248044,0.494224,0.498917,0.305625,0.409424
9,0.248055,0.494255,0.498812,0.305569,0.409404
9,0.248247,0.494242,0.498534,0.305457,0.409297
9,0.248325,0.494294,0.498333,0.305471,0.409330
9,0.248366,0.494230,0.498075,0.305459,0.409272
9,0.248379,0.494289,0.497743,0.305465,0.409296
9,0.248383,0.494341,0.497367,0.305521,0.409300
9,0.248435,0.494407,0.497191,0.305591,0.409248
9,0.248420,0.494555,0.497107,0.305583,0.409234
9,0.248656,0.494576,0.496979,0.305588,0.409199
9,0.249004,0.494559,0.496798,0.305532,0.409113
9,0.249251,0.494544,0.496566,0.305439,0.409007
9,0.249285,0.494576,0.496472,0.305098,0.408846
9,0.249331,0.494455,0.496364,0.304750,0.408660
9,0.249340,0.493982,0.495963,0.304717,0.408424
9,0.249238,0.493687,0.495681,0.304976,0.408268
9,0.249125,0.493387,0.495549,0.305123,0.408119
9,0.249090,0.493148,0.495399,0.305389,0.408083
9,0.248981,0.492922,0.495269,0.305486,0.407954
9,0.248737,0.492881,0.495211,0.305480,0.407881
9,0.248470,0.492848,0.495109,0.305245,0.407910
9,0.248297,0.492781,0.495075,0.304661,0.407902
9,0.248196,0.492761,0.495025,0.304362,0.407906
9,0.248101,0.492718,0.494952,0.304257,0.407895
9,0.247985,0.492665,0.494868,0.304250,0.407884
9,0.247860,0.492548,0.494716,0.304320,0.407884
9,0.247763,0.492514,0.494479,0.304496,0.407903
9,0.247782,0.492444,0.494144,0.304897,0.407827
9,0.247748,0.492383,0.493852,0.305114,0.407809
9,0.247653,0.492310,0.493674,0.305116,0.407812
9,0.247600,0.492256,0.493501,0.305254,0.407791
9,0.247495,0.492217,0.493345,0.305200,0.407711
9,0.247419,0.492273,0.493303,0.305172,0.407608
9,0.247373,0.492398,0.493294,0.305358,0.407573
9,0.247248,0.492473,0.493318,0.305595,0.407631
9,0.247194,0.492645,0.493382,0.305627,0.407683
9,0.247139,0.492749,0.493457,0.305690,0.407732
9,0.247093,0.492853,0.493516,0.305646,0.407744
9,0.247042,0.492953,0.493592,0.305677,0.407756
9,0.247000,0.493015,0.493683,0.305734,0.407763
9,0.247034,0.493046,0.493753,0.305811,0.407783
9,0.247108,0.493069,0.493760,0.305785,0.407697
9,0.247129,0.493061,0.493796,0.305761,0.407670
9,0.247125,0.493072,0.493820,0.305662,0.407647
9,0.247147,0.493103,0.493842,0.305691,0.407559
9,0.247146,0.493127,0.493852,0.305742,0.407503
9,0.247168,0.493120,0.493842,0.305752,0.407460
9,0.247171,0.493134,0.493837,0.305833,0.407456
9,0.247223,0.493097,0.493839,0.306026,0.407432
9,0.247157,0.493112,0.493870,0.306163,0.407448
9,0.247153,0.493133,0.493897,0.306277,0.407445
9,0.247176,0.493162,0.493902,0.306350,0.407462
9,0.247160,0.493192,0.493948,0.306458,0.407463
9,0.247291,0.493182,0.493974,0.306437,0.407479
9,0.247477,0.493137,0.494003,0.306618,0.407494
9,0.247658,0.493023,0.493998,0.306623,0.407400
9,0.247718,0.492895,0.493946,0.306635,0.407185
9,0.247805,0.492642,0.493928,0.306753,0.407141
9,0.247812,0.492532,0.493952,0.306753,0.407161
9,0.247859,0.492428,0.493987,0.306958,0.407235
9,0.247940,0.492391,0.494016,0.307029,0.407261
9,0.247949,0.492387,0.494072,0.307285,0.407360
9,0.248028,0.492381,0.494120,0.307649,0.407422
9,0.248101,0.492370,0.494175,0.307722,0.407470
9,0.248037,0.492434,0.494235,0.307768,0.407485
9,0.247925,0.492673,0.494458,0.307607,0.407432
9,0.247814,0.492901,0.494790,0.307653,0.407428
9,0.247676,0.493116,0.495226,0.307213,0.407187
9,0.247561,0.493303,0.495505,0.307131,0.406899
9,0.247433,0.493361,0.495690,0.306960,0.406866
9,0.247290,0.493469,0.495810,0.306790,0.406904
9,0.247039,0.493413,0.495894,0.307040,0.406954
9,0.246987,0.493391,0.495993,0.307530,0.406986
9,0.246957,0.493265,0.496050,0.307639,0.406742
9,0.246948,0.493145,0.496114,0.307617,0.406708
9,0.246724,0.493026,0.496152,0.307692,0.406709
9,0.246504,0.492837,0.496143,0.307689,0.406541
9,0.246301,0.492824,0.496205,0.307557,0.406474
9,0.246134,0.492837,0.496440,0.307609,0.406417
9,0.245401,0.492803,0.496693,0.307917,0.406297
9,0.245030,0.492800,0.496879,0.308341,0.406096
9,0.244540,0.492749,0.496928,0.308325,0.405718
9,0.244421,0.492771,0.496938,0.308404,0.405500
9,0.244279,0.492783,0.496952,0.308391,0.405395
9,0.244207,0.492770,0.496933,0.308417,0.405346
9,0.244146,0.492636,0.496936,0.308369,0.405257
9,0.243841,0.492552,0.496797,0.308171,0.405130
9,0.243731,0.492375,0.496618,0.308172,0.405132
9,0.243661,0.491992,0.496146,0.308186,0.405009
9,0.243625,0.491595,0.495620,0.308623,0.404952
9,0.243617,0.491310,0.495198,0.309436,0.405089
9,0.243555,0.491055,0.494838,0.311622,0.405099
9,0.243262,0.490858,0.494743,0.312834,0.405159
9,0.242856,0.490649,0.494684,0.314785,0.405321
9,0.242230,0.490662,0.494783,0.315343,0.405481
9,0.241652,0.490713,0.494850,0.316031,0.405663
9,0.241377,0.490718,0.494849,0.317027,0.405745
9,0.241011,0.490692,0.494845,0.317745,0.405812
9,0.240723,0.490676,0.494900,0.318526,0.405899
9,0.240510,0.490689,0.494985,0.319380,0.406012
9,0.240275,0.490680,0.495064,0.320499,0.406191
9,0.240082,0.490629,0.495111,0.321157,0.406267
9,0.239891,0.490616,0.495208,0.321596,0.406429
9,0.239800,0.490626,0.495320,0.322210,0.406542
9,0.239637,0.490707,0.495545,0.322460,0.406689
9,0.239495,0.490730,0.495581,0.322759,0.406764
