gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
1,0.264969,0.396453,0.138704,0.143167,0.155337
1,0.265161,0.403746,0.146570,0.149623,0.157798
1,0.267135,0.404028,0.147705,0.150934,0.158564
1,0.268004,0.403580,0.148532,0.152033,0.159230
1,0.269025,0.403333,0.148848,0.152537,0.159531
1,0.269517,0.402926,0.148841,0.152740,0.159689
1,0.269920,0.402511,0.148887,0.152913,0.159746
1,0.270010,0.402280,0.148895,0.153010,0.159767
1,0.269961,0.402020,0.148859,0.153013,0.159801
1,0.269882,0.401849,0.148911,0.153014,0.159799
1,0.269852,0.401715,0.148975,0.153035,0.159800
1,0.269858,0.401692,0.149112,0.153078,0.159831
1,0.269995,0.401604,0.149203,0.153142,0.159857
1,0.270119,0.401550,0.149309,0.153186,0.159912
1,0.270257,0.401519,0.149401,0.153233,0.159912
1,0.270211,0.401534,0.149469,0.153324,0.159960
1,0.270224,0.401514,0.149494,0.153382,0.159956
1,0.270224,0.401507,0.149520,0.153413,0.159938
1,0.270220,0.401454,0.149538,0.153438,0.159957
1,0.270121,0.401382,0.149545,0.153452,0.159984
1,0.270014,0.401337,0.149518,0.153437,0.159993
1,0.269894,0.401279,0.149479,0.153409,0.160013
1,0.269824,0.401177,0.149442,0.153392,0.159966
1,0.269757,0.401114,0.149395,0.153397,0.159901
1,0.269615,0.400926,0.149367,0.153380,0.159797
1,0.269468,0.400768,0.149327,0.153349,0.159718
1,0.269308,0.400630,0.149210,0.153187,0.159582
1,0.269192,0.400511,0.149153,0.153135,0.159488
1,0.269102,0.400396,0.149074,0.153091,0.159410
1,0.269060,0.400293,0.148896,0.152951,0.159311
1,0.269034,0.400230,0.148798,0.152852,0.159246
1,0.269027,0.400176,0.148683,0.152825,0.159133
1,0.268899,0.400116,0.148608,0.152803,0.159048
1,0.268776,0.400103,0.148545,0.152774,0.159009
1,0.268662,0.400074,0.148466,0.152686,0.158938
1,0.268633,0.400114,0.148375,0.152634,0.158882
1,0.268647,0.400126,0.148249,0.152497,0.158813
1,0.268708,0.400132,0.148131,0.152366,0.158785
1,0.268708,0.400132,0.148131,0.152366,0.158785
1,0.268796,0.400127,0.148203,0.152402,0.158808
1,0.268957,0.400117,0.148232,0.152399,0.158834
1,0.269125,0.400100,0.148233,0.152379,0.158843
1,0.269128,0.400076,0.148245,0.152408,0.158869
1,0.269144,0.400069,0.148273,0.152445,0.158894
