gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
7,0.406061,0.290696,0.158338,0.176618,0.343494
7,0.380386,0.416739,0.130026,0.176387,0.353433
7,0.373309,0.436519,0.123640,0.173325,0.357331
7,0.370118,0.439617,0.122223,0.173107,0.360007
7,0.368757,0.439855,0.121630,0.173117,0.363366
7,0.368083,0.439767,0.121774,0.173400,0.364736
7,0.367630,0.439036,0.121029,0.173843,0.366643
7,0.367418,0.438478,0.120107,0.173953,0.368050
7,0.367129,0.438060,0.119497,0.174285,0.369983
7,0.367014,0.437760,0.119124,0.174507,0.370825
7,0.367014,0.437588,0.118833,0.174497,0.371614
7,0.367237,0.437546,0.118685,0.174534,0.372128
7,0.367458,0.437562,0.118625,0.174487,0.372854
7,0.367608,0.437528,0.118539,0.174488,0.373250
7,0.367688,0.437450,0.118343,0.174543,0.373874
7,0.367783,0.437344,0.118158,0.174674,0.374642
7,0.367787,0.437250,0.117847,0.174697,0.375011
7,0.367854,0.437073,0.117534,0.174803,0.375561
7,0.367855,0.436948,0.117177,0.174759,0.375702
7,0.367974,0.437064,0.117094,0.174775,0.375898
7,0.368053,0.437263,0.117116,0.174843,0.375832
7,0.368083,0.437493,0.117172,0.174925,0.375727
7,0.368100,0.437862,0.117357,0.175024,0.375558
7,0.368236,0.438011,0.117520,0.175131,0.375578
7,0.368440,0.438121,0.117737,0.175282,0.375511
7,0.368523,0.438263,0.117978,0.175310,0.375015
7,0.368569,0.438359,0.118267,0.175402,0.374787
7,0.368671,0.438324,0.118473,0.175378,0.374187
7,0.368360,0.437843,0.118652,0.175497,0.373692
7,0.368326,0.437558,0.119045,0.175586,0.373187
7,0.368183,0.436988,0.119312,0.175940,0.373134
7,0.368042,0.436934,0.119434,0.175911,0.372603
7,0.367854,0.436976,0.119738,0.175622,0.371353
7,0.367854,0.436976,0.119738,0.175622,0.371353
7,0.367730,0.437141,0.119949,0.175316,0.369534
7,0.367399,0.437363,0.119906,0.175095,0.369220
7,0.367115,0.437282,0.119803,0.174949,0.368423
7,0.366810,0.437340,0.119787,0.174780,0.367737
7,0.366534,0.437488,0.120051,0.174571,0.367575
7,0.366378,0.437758,0.120234,0.174638,0.367998
7,0.366162,0.437928,0.120395,0.174466,0.367647
7,0.366073,0.438327,0.120471,0.174220,0.367457
7,0.366073,0.438327,0.120471,0.174220,0.367457
7,0.366030,0.438581,0.120482,0.173904,0.367078
7,0.365932,0.438771,0.120195,0.173577,0.366825
7,0.365791,0.438953,0.119888,0.173281,0.366917
7,0.365977,0.439303,0.119212,0.173026,0.367037
7,0.365980,0.439295,0.118603,0.173008,0.367587
7,0.366029,0.439144,0.117539,0.173036,0.368191
7,0.365951,0.439179,0.116688,0.172789,0.368490
7,0.365953,0.439326,0.116249,0.172736,0.368761
7,0.366041,0.439509,0.116057,0.172602,0.368914
7,0.366203,0.439963,0.116035,0.172433,0.369043
7,0.366366,0.440340,0.116206,0.172625,0.369506
7,0.366567,0.440568,0.116197,0.172844,0.369839
7,0.366773,0.440584,0.116142,0.173026,0.370112
7,0.367107,0.440662,0.116146,0.173165,0.370594
7,0.367404,0.440610,0.116184,0.173139,0.370770
7,0.367581,0.440596,0.116392,0.173152,0.370831
7,0.368088,0.440611,0.117594,0.172918,0.370149
7,0.368488,0.440682,0.118561,0.172691,0.369058
7,0.369256,0.440769,0.120378,0.172556,0.367600
7,0.369256,0.440769,0.120378,0.172556,0.367600
7,0.369846,0.440829,0.121059,0.172459,0.366900
7,0.370225,0.440692,0.121548,0.172316,0.365870
7,0.370948,0.440537,0.121973,0.172359,0.364991
7,0.371352,0.440306,0.122163,0.172357,0.364475
7,0.371501,0.440285,0.122432,0.172340,0.363797
7,0.371458,0.440326,0.122626,0.172298,0.363126
7,0.371368,0.440327,0.122839,0.172237,0.362105
7,0.371195,0.440368,0.123006,0.172152,0.360938
7,0.371185,0.440456,0.123290,0.172111,0.360015
7,0.371181,0.440597,0.123540,0.171978,0.358790
7,0.371117,0.440699,0.123611,0.171885,0.358242
7,0.371068,0.440727,0.123564,0.171822,0.358007
7,0.371039,0.440756,0.123528,0.171761,0.357632
7,0.371065,0.440785,0.123529,0.171770,0.357612
7,0.370978,0.440959,0.123648,0.171746,0.357218
7,0.370875,0.441139,0.123711,0.171689,0.357118
7,0.370812,0.441246,0.123620,0.171594,0.357267
7,0.370814,0.441295,0.123495,0.171523,0.357213
7,0.370818,0.441492,0.123359,0.171451,0.357163
7,0.370879,0.441762,0.123253,0.171457,0.357092
7,0.370955,0.441902,0.123137,0.171382,0.356613
7,0.371013,0.442131,0.123119,0.171296,0.356437
7,0.370909,0.442386,0.123102,0.171216,0.356061
7,0.370855,0.442514,0.123049,0.171134,0.355871
7,0.370759,0.442691,0.123001,0.171097,0.355824
7,0.370678,0.442708,0.122912,0.171013,0.355805
7,0.370658,0.442662,0.122858,0.170917,0.355835
7,0.370653,0.442664,0.122660,0.170955,0.356050
7,0.370603,0.442645,0.122466,0.170984,0.356422
7,0.370521,0.442590,0.121989,0.171000,0.356807
7,0.370440,0.442581,0.121593,0.171044,0.357227
7,0.370358,0.442625,0.121310,0.171156,0.357536
7,0.370302,0.442708,0.121065,0.171286,0.357759
7,0.370262,0.442729,0.120912,0.171400,0.358239
7,0.370190,0.442711,0.120314,0.171433,0.358676
7,0.370031,0.442599,0.119693,0.171377,0.359065
7,0.369888,0.442422,0.119031,0.171485,0.360441
7,0.369666,0.442216,0.118481,0.171604,0.361758
7,0.369511,0.441881,0.118065,0.171657,0.362398
7,0.369368,0.441627,0.117631,0.171772,0.363542
7,0.369209,0.441325,0.116854,0.171900,0.365144
7,0.369125,0.440881,0.116275,0.172036,0.366492
7,0.369040,0.440556,0.115861,0.172386,0.368465
7,0.369040,0.440398,0.115618,0.172907,0.369887
7,0.369077,0.440271,0.115488,0.173399,0.371108
7,0.368966,0.440117,0.115293,0.173595,0.372068
7,0.368778,0.439968,0.115184,0.173911,0.372838
7,0.368683,0.439889,0.115056,0.174220,0.373421
7,0.368628,0.439877,0.114935,0.174447,0.373855
7,0.368586,0.439926,0.114864,0.174592,0.374175
7,0.368621,0.439999,0.114821,0.174757,0.374551
7,0.368637,0.440289,0.114935,0.174924,0.374482
7,0.368650,0.440474,0.114857,0.174931,0.374274
7,0.368722,0.440999,0.114750,0.174847,0.373697
7,0.368718,0.441258,0.114783,0.174624,0.373186
7,0.368705,0.441422,0.114973,0.174350,0.372355
7,0.368763,0.441522,0.115144,0.174256,0.371981
7,0.368807,0.441618,0.115253,0.174143,0.371842
7,0.368914,0.441658,0.115402,0.173979,0.371272
7,0.369065,0.441709,0.115566,0.173956,0.371082
7,0.369153,0.441716,0.115595,0.173883,0.370911
7,0.369342,0.441620,0.115646,0.173825,0.370688
7,0.369379,0.441640,0.115763,0.173757,0.370144
7,0.369533,0.441724,0.115884,0.173668,0.369394
