gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
8,0.360116,0.461052,0.496051,0.454418,0.398314
8,0.359916,0.462396,0.497327,0.455686,0.399561
8,0.359810,0.463103,0.498042,0.456533,0.400278
8,0.359810,0.463514,0.498398,0.456998,0.400672
8,0.359786,0.463774,0.498615,0.457326,0.401012
8,0.359756,0.464172,0.498923,0.457612,0.401266
8,0.359731,0.464314,0.498993,0.457659,0.401352
8,0.359690,0.464531,0.499154,0.457772,0.401435
8,0.359548,0.464706,0.499222,0.457803,0.401454
8,0.359479,0.464738,0.499260,0.457813,0.401437
8,0.359483,0.464695,0.499215,0.457787,0.401416
8,0.359491,0.464669,0.499159,0.457765,0.401382
8,0.359499,0.464539,0.499042,0.457648,0.401246
8,0.359505,0.464383,0.498941,0.457558,0.401135
8,0.359532,0.464222,0.498819,0.457453,0.401030
8,0.359562,0.464015,0.498674,0.457322,0.400936
8,0.359594,0.463895,0.498514,0.457246,0.400853
8,0.359577,0.463851,0.498443,0.457178,0.400784
8,0.359550,0.463770,0.498352,0.457122,0.400701
8,0.359544,0.463748,0.498294,0.457129,0.400691
8,0.359556,0.463764,0.498250,0.457165,0.400713
8,0.359585,0.463797,0.498211,0.457191,0.400743
8,0.359634,0.463835,0.498175,0.457219,0.400787
8,0.359652,0.463897,0.498165,0.457216,0.400827
8,0.359679,0.463935,0.498173,0.457258,0.400878
8,0.359689,0.464015,0.498271,0.457335,0.400964
8,0.359680,0.464076,0.498406,0.457367,0.401017
8,0.359689,0.464152,0.498500,0.457389,0.401064
8,0.359699,0.464240,0.498640,0.457452,0.401172
8,0.359711,0.464302,0.499119,0.457643,0.401418
8,0.359700,0.464424,0.499341,0.457801,0.401592
8,0.359679,0.464538,0.499451,0.457875,0.401680
8,0.359619,0.464761,0.499863,0.458201,0.402090
8,0.359678,0.464995,0.500107,0.458421,0.402262
8,0.359728,0.465164,0.500260,0.458563,0.402369
8,0.359781,0.465261,0.500310,0.458655,0.402461
8,0.359930,0.465523,0.500334,0.458715,0.402528
8,0.360277,0.465737,0.500324,0.458664,0.402536
8,0.360482,0.465978,0.500299,0.458621,0.402520
8,0.360648,0.466105,0.500240,0.458566,0.402482
8,0.360740,0.466094,0.500124,0.458466,0.402374
8,0.360859,0.466047,0.499949,0.458366,0.402314
8,0.360972,0.465968,0.499736,0.458287,0.402240
8,0.361178,0.465876,0.499530,0.458182,0.402152
8,0.361283,0.465760,0.499409,0.458093,0.402087
8,0.361390,0.465550,0.499294,0.457992,0.402035
8,0.361432,0.465434,0.499187,0.457915,0.401983
8,0.361448,0.465315,0.499111,0.457862,0.401954
8,0.361417,0.465176,0.499025,0.457817,0.401925
8,0.361288,0.465135,0.499007,0.457799,0.401912
8,0.361209,0.465119,0.498992,0.457786,0.401915
8,0.361105,0.465124,0.498988,0.457797,0.401929
8,0.361003,0.465117,0.498985,0.457801,0.401932
8,0.360859,0.465068,0.498910,0.457760,0.401876
8,0.360859,0.465068,0.498910,0.457760,0.401876
8,0.360820,0.465057,0.498878,0.457743,0.401853
8,0.360789,0.465019,0.498823,0.457708,0.401820
8,0.360782,0.464988,0.498771,0.457674,0.401785
8,0.360744,0.464965,0.498727,0.457651,0.401738
8,0.360757,0.464923,0.498649,0.457625,0.401704
8,0.360750,0.464783,0.498572,0.457608,0.401661
8,0.360759,0.464630,0.498459,0.457566,0.401603
8,0.360776,0.464532,0.498378,0.457529,0.401547
8,0.360777,0.464467,0.498303,0.457510,0.401520
8,0.360698,0.464346,0.498186,0.457472,0.401467
8,0.360586,0.464281,0.498130,0.457434,0.401435
8,0.360517,0.464308,0.498087,0.457422,0.401444
8,0.360480,0.464329,0.498076,0.457431,0.401457
8,0.360433,0.464331,0.498075,0.457453,0.401468
8,0.360369,0.464310,0.498058,0.457476,0.401479
8,0.360365,0.464228,0.498010,0.457471,0.401470
8,0.360352,0.464141,0.497962,0.457468,0.401465
8,0.360375,0.464049,0.497906,0.457454,0.401439
8,0.360348,0.463956,0.497774,0.457386,0.401384
8,0.360271,0.463921,0.497712,0.457339,0.401323
8,0.360188,0.463813,0.497691,0.457278,0.401281
8,0.359950,0.463718,0.497711,0.457245,0.401252
8,0.359808,0.463371,0.497625,0.457195,0.401174
8,0.359716,0.463197,0.497564,0.457145,0.401072
8,0.359615,0.463193,0.497596,0.457089,0.400964
8,0.359572,0.463235,0.497685,0.457058,0.400915
8,0.359490,0.463534,0.497905,0.457187,0.401049
8,0.359334,0.463884,0.498422,0.457486,0.401453
8,0.359223,0.464309,0.499066,0.457786,0.401814
8,0.359174,0.464722,0.499380,0.457965,0.402032
8,0.359193,0.464944,0.499592,0.458107,0.402217
8,0.359273,0.465031,0.499664,0.458137,0.402293
8,0.359376,0.465132,0.499737,0.458151,0.402354
8,0.359466,0.465231,0.499799,0.458199,0.402466
8,0.359596,0.465431,0.499914,0.458395,0.402776
8,0.359671,0.465540,0.500556,0.458830,0.403368
8,0.359860,0.465649,0.500776,0.458989,0.403532
8,0.359980,0.465705,0.500926,0.459064,0.403582
8,0.360010,0.465674,0.501094,0.459150,0.403767
8,0.360020,0.465737,0.501271,0.459244,0.403867
8,0.359933,0.465981,0.501400,0.459325,0.403990
8,0.359857,0.466094,0.501463,0.459337,0.403969
8,0.359853,0.466114,0.501531,0.459343,0.403912
8,0.359784,0.466069,0.501621,0.459364,0.403878
8,0.359709,0.466002,0.501717,0.459354,0.403811
8,0.359694,0.465923,0.501769,0.459323,0.403691
8,0.359606,0.465875,0.501726,0.459296,0.403551
8,0.359577,0.465770,0.501469,0.459219,0.403280
