gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
3,0.386683,0.421697,0.121426,0.146018,0.158206
3,0.389861,0.422735,0.119801,0.145309,0.158573
3,0.391958,0.425822,0.119524,0.145477,0.159663
3,0.393663,0.427990,0.119567,0.145498,0.160439
3,0.394909,0.429769,0.119644,0.145713,0.161199
3,0.396067,0.431014,0.119820,0.145928,0.161815
3,0.397258,0.431992,0.120157,0.146196,0.162418
3,0.398272,0.433281,0.120493,0.146509,0.162976
3,0.399111,0.434349,0.120779,0.146819,0.163473
3,0.399743,0.435242,0.120920,0.147096,0.163969
3,0.400459,0.436034,0.121167,0.147450,0.164411
3,0.401038,0.436935,0.121401,0.147743,0.164744
3,0.401724,0.437623,0.121560,0.147950,0.165006
3,0.402329,0.438206,0.121658,0.148109,0.165232
3,0.402730,0.438828,0.121761,0.148291,0.165452
3,0.402987,0.439278,0.121845,0.148436,0.165664
3,0.403293,0.439550,0.121923,0.148569,0.165790
3,0.403503,0.439708,0.121988,0.148694,0.165898
3,0.403689,0.439945,0.122028,0.148794,0.166031
3,0.403848,0.440083,0.122062,0.148876,0.166126
3,0.403983,0.440270,0.122105,0.148953,0.166216
3,0.404098,0.440391,0.122139,0.149009,0.166267
3,0.404217,0.440604,0.122178,0.149084,0.166323
3,0.404302,0.440802,0.122186,0.149127,0.166382
3,0.404433,0.440962,0.122204,0.149196,0.166452
3,0.404556,0.441138,0.122227,0.149267,0.166509
3,0.404679,0.441286,0.122234,0.149303,0.166563
3,0.404751,0.441449,0.122271,0.149341,0.166607
3,0.404859,0.441719,0.122310,0.149388,0.166660
3,0.405036,0.441908,0.122328,0.149425,0.166670
3,0.405212,0.442052,0.122346,0.149443,0.166675
3,0.405356,0.442219,0.122381,0.149494,0.166719
3,0.405477,0.442386,0.122416,0.149540,0.166774
3,0.405617,0.442445,0.122441,0.149575,0.166809
3,0.405847,0.442687,0.122470,0.149637,0.166825
3,0.405847,0.442687,0.122470,0.149637,0.166825
3,0.405912,0.442777,0.122478,0.149661,0.166855
3,0.406032,0.442840,0.122469,0.149668,0.166845
3,0.406119,0.442925,0.122453,0.149662,0.166832
3,0.406207,0.443015,0.122440,0.149671,0.166834
3,0.406295,0.443123,0.122411,0.149651,0.166848
3,0.406351,0.443174,0.122370,0.149620,0.166831
3,0.406446,0.443231,0.122372,0.149603,0.166833
3,0.406542,0.443267,0.122377,0.149590,0.166839
3,0.406639,0.443341,0.122405,0.149610,0.166874
3,0.406684,0.443412,0.122412,0.149626,0.166889
3,0.406835,0.443482,0.122401,0.149617,0.166889
3,0.406929,0.443524,0.122401,0.149603,0.166910
3,0.406996,0.443626,0.122402,0.149609,0.166962
3,0.407255,0.444055,0.122430,0.149646,0.167050
3,0.407255,0.444055,0.122430,0.149646,0.167050
3,0.407293,0.444347,0.122483,0.149706,0.167089
3,0.407444,0.444503,0.122576,0.149761,0.167093
3,0.407444,0.444503,0.122576,0.149761,0.167093
3,0.407558,0.444574,0.122609,0.149789,0.167092
3,0.407571,0.444725,0.122630,0.149834,0.167081
3,0.407704,0.444818,0.122685,0.149891,0.166971
3,0.407861,0.444879,0.122701,0.149933,0.166950
3,0.407985,0.444927,0.122729,0.149982,0.166932
3,0.408065,0.444967,0.122736,0.150021,0.166924
3,0.408096,0.445016,0.122741,0.150043,0.166897
3,0.408143,0.445071,0.122741,0.150052,0.166902
3,0.408170,0.445091,0.122729,0.150070,0.166901
3,0.408218,0.445090,0.122741,0.150089,0.166924
3,0.408318,0.445080,0.122752,0.150118,0.166959
3,0.408408,0.445062,0.122764,0.150151,0.167003
3,0.408519,0.445079,0.122787,0.150182,0.167041
3,0.408579,0.445127,0.122803,0.150213,0.167079
3,0.408629,0.445142,0.122831,0.150243,0.167120
3,0.408683,0.445165,0.122859,0.150278,0.167165
3,0.408741,0.445268,0.122881,0.150316,0.167228
3,0.408819,0.445389,0.122892,0.150356,0.167299
3,0.408861,0.445528,0.122915,0.150398,0.167374
3,0.408884,0.445627,0.122900,0.150429,0.167443
3,0.408895,0.445723,0.122896,0.150452,0.167493
3,0.408908,0.445796,0.122877,0.150464,0.167537
3,0.408927,0.445853,0.122849,0.150481,0.167540
3,0.408925,0.445888,0.122818,0.150497,0.167572
3,0.408934,0.445965,0.122808,0.150519,0.167594
3,0.408942,0.446048,0.122816,0.150544,0.167615
3,0.408950,0.446116,0.122828,0.150564,0.167631
3,0.408957,0.446150,0.122842,0.150585,0.167641
3,0.408958,0.446187,0.122823,0.150590,0.167653
3,0.408968,0.446231,0.122818,0.150596,0.167654
3,0.409001,0.446247,0.122797,0.150588,0.167652
3,0.409015,0.446262,0.122797,0.150583,0.167651
3,0.409114,0.446292,0.122794,0.150577,0.167642
3,0.409212,0.446347,0.122799,0.150553,0.167632
3,0.409280,0.446370,0.122801,0.150538,0.167630
3,0.409349,0.446375,0.122768,0.150515,0.167617
3,0.409401,0.446394,0.122720,0.150491,0.167617
3,0.409449,0.446415,0.122686,0.150475,0.167616
3,0.409504,0.446440,0.122620,0.150443,0.167582
3,0.409531,0.446448,0.122560,0.150406,0.167542
3,0.409587,0.446450,0.122524,0.150381,0.167502
3,0.409545,0.446402,0.122500,0.150366,0.167456
3,0.409526,0.446400,0.122468,0.150358,0.167421
3,0.409463,0.446410,0.122452,0.150373,0.167440
3,0.409434,0.446417,0.122435,0.150368,0.167440
3,0.409429,0.446427,0.122399,0.150349,0.167416
3,0.409430,0.446403,0.122390,0.150330,0.167417
3,0.409407,0.446348,0.122357,0.150293,0.167420
3,0.409411,0.446278,0.122331,0.150253,0.167417
3,0.409421,0.446222,0.122328,0.150228,0.167409
3,0.409451,0.446174,0.122316,0.150203,0.167407
3,0.409501,0.446079,0.122325,0.150201,0.167414
3,0.409603,0.446020,0.122343,0.150195,0.167406
3,0.409679,0.445929,0.122377,0.150194,0.167393
3,0.409670,0.445861,0.122400,0.150211,0.167408
3,0.409650,0.445811,0.122430,0.150228,0.167432
3,0.409640,0.445760,0.122472,0.150260,0.167471
3,0.409614,0.445742,0.122499,0.150281,0.167500
3,0.409607,0.445726,0.122514,0.150297,0.167522
3,0.409634,0.445708,0.122531,0.150303,0.167563
3,0.409666,0.445731,0.122551,0.150316,0.167596
3,0.409647,0.445838,0.122583,0.150338,0.167620
3,0.409652,0.445899,0.122585,0.150349,0.167657
3,0.409618,0.445901,0.122578,0.150346,0.167687
3,0.409644,0.445896,0.122581,0.150350,0.167690
3,0.409720,0.445885,0.122563,0.150350,0.167691
3,0.409745,0.445885,0.122570,0.150366,0.167705
3,0.409758,0.445874,0.122580,0.150390,0.167728
3,0.409739,0.445951,0.122633,0.150450,0.167770
3,0.409784,0.446020,0.122684,0.150485,0.167804
3,0.409734,0.446045,0.122722,0.150516,0.167837
3,0.409652,0.446048,0.122747,0.150545,0.167854
3,0.409606,0.446078,0.122778,0.150570,0.167855
3,0.409627,0.446128,0.122835,0.150591,0.167863
3,0.409648,0.446125,0.122878,0.150616,0.167866
3,0.409647,0.446148,0.122910,0.150640,0.167860
3,0.409646,0.446179,0.122916,0.150666,0.167836
3,0.409638,0.446216,0.122938,0.150681,0.167810
3,0.409672,0.446190,0.122930,0.150682,0.167788
3,0.409705,0.446177,0.122925,0.150674,0.167772
3,0.409711,0.446139,0.122929,0.150678,0.167758
3,0.409721,0.446126,0.122930,0.150687,0.167752
3,0.409734,0.446104,0.122929,0.150693,0.167755
3,0.409732,0.446106,0.122926,0.150691,0.167751
3,0.409720,0.446112,0.122922,0.150705,0.167766
3,0.409714,0.446091,0.122924,0.150716,0.167786
3,0.409691,0.446075,0.122942,0.150743,0.167795
3,0.409689,0.446072,0.122960,0.150761,0.167806
3,0.409668,0.446122,0.122982,0.150774,0.167824
3,0.409651,0.446170,0.123002,0.150789,0.167841
3,0.409675,0.446238,0.123035,0.150807,0.167843
3,0.409674,0.446300,0.123071,0.150833,0.167861
3,0.409665,0.446287,0.123110,0.150841,0.167859
3,0.409672,0.446285,0.123172,0.150853,0.167878
3,0.409738,0.446243,0.123239,0.150873,0.167889
3,0.409777,0.446231,0.123276,0.150878,0.167913
3,0.409799,0.446233,0.123309,0.150883,0.167953
3,0.409806,0.446274,0.123347,0.150894,0.167972
3,0.409820,0.446344,0.123372,0.150906,0.168003
3,0.409789,0.446376,0.123384,0.150908,0.168036
3,0.409763,0.446351,0.123388,0.150912,0.168072
3,0.409748,0.446284,0.123384,0.150913,0.168110
3,0.409727,0.446247,0.123358,0.150913,0.168128
3,0.409705,0.446248,0.123345,0.150927,0.168132
3,0.409692,0.446256,0.123309,0.150929,0.168131
3,0.409698,0.446260,0.123273,0.150917,0.168114
3,0.409689,0.446269,0.123235,0.150912,0.168074
3,0.409684,0.446269,0.123230,0.150911,0.168055
3,0.409661,0.446293,0.123219,0.150911,0.168057
3,0.409647,0.446299,0.123213,0.150912,0.168059
3,0.409628,0.446287,0.123181,0.150894,0.168058
3,0.409630,0.446281,0.123156,0.150900,0.168059
3,0.409659,0.446296,0.123136,0.150902,0.168048
3,0.409685,0.446287,0.123116,0.150892,0.168037
3,0.409717,0.446234,0.123106,0.150887,0.168029
3,0.409696,0.446185,0.123094,0.150881,0.168027
3,0.409674,0.446123,0.123099,0.150879,0.168026
3,0.409627,0.446072,0.123108,0.150880,0.168020
3,0.409634,0.446063,0.123103,0.150873,0.168004
3,0.409657,0.446048,0.123105,0.150864,0.167985
3,0.409655,0.446046,0.123103,0.150858,0.167968
3,0.409691,0.446055,0.123104,0.150860,0.167955
3,0.409740,0.446058,0.123094,0.150862,0.167949
3,0.409781,0.446048,0.123091,0.150872,0.167953
3,0.409839,0.446067,0.123088,0.150881,0.167964
3,0.409873,0.446057,0.123087,0.150885,0.167969
