gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
8,0.397289,0.416025,0.370901,0.345561,0.313740
8,0.394402,0.443181,0.455470,0.406075,0.366106
8,0.392920,0.453328,0.471044,0.415157,0.384602
8,0.391755,0.456252,0.475056,0.417912,0.391436
8,0.391346,0.456523,0.475681,0.418398,0.393457
8,0.391115,0.456516,0.475808,0.418554,0.394220
8,0.390875,0.456436,0.475745,0.418579,0.394384
8,0.390681,0.456161,0.475584,0.418516,0.394369
8,0.390542,0.455905,0.475357,0.418421,0.394356
8,0.390445,0.455695,0.475173,0.418313,0.394278
8,0.390335,0.455501,0.475081,0.418209,0.394213
8,0.390211,0.455339,0.474985,0.418108,0.394139
8,0.390092,0.455201,0.474931,0.418038,0.394060
8,0.390001,0.455108,0.474852,0.417974,0.393989
8,0.389912,0.454989,0.474801,0.417882,0.393863
8,0.389786,0.454862,0.474737,0.417800,0.393729
8,0.389686,0.454763,0.474658,0.417732,0.393650
8,0.389570,0.454677,0.474593,0.417678,0.393590
8,0.389482,0.454643,0.474531,0.417631,0.393514
8,0.389418,0.454611,0.474474,0.417588,0.393431
8,0.389388,0.454577,0.474422,0.417574,0.393427
8,0.389340,0.454558,0.474396,0.417548,0.393409
8,0.389284,0.454578,0.474418,0.417548,0.393371
8,0.389108,0.454553,0.474454,0.417532,0.393314
8,0.389023,0.454568,0.474481,0.417535,0.393299
8,0.388967,0.454556,0.474480,0.417518,0.393279
8,0.388978,0.454534,0.474449,0.417468,0.393259
8,0.388950,0.454508,0.474418,0.417431,0.393246
8,0.388921,0.454490,0.474393,0.417390,0.393234
8,0.388791,0.454455,0.474363,0.417352,0.393229
8,0.388695,0.454398,0.474340,0.417321,0.393236
8,0.388551,0.454357,0.474328,0.417302,0.393269
8,0.388426,0.454282,0.474301,0.417269,0.393311
8,0.388281,0.454240,0.474279,0.417245,0.393381
8,0.388161,0.454208,0.474266,0.417217,0.393431
8,0.388122,0.454165,0.474267,0.417177,0.393476
8,0.388047,0.454117,0.474250,0.417134,0.393483
8,0.387983,0.454063,0.474199,0.417081,0.393498
8,0.387908,0.454014,0.474161,0.417043,0.393526
8,0.387854,0.453930,0.474106,0.416991,0.393536
8,0.387810,0.453884,0.474056,0.416949,0.393554
8,0.387798,0.453841,0.474023,0.416912,0.393658
8,0.387780,0.453802,0.473964,0.416869,0.393701
8,0.387742,0.453753,0.473901,0.416824,0.393728
8,0.387702,0.453674,0.473853,0.416775,0.393763
8,0.387657,0.453598,0.473793,0.416717,0.393797
8,0.387609,0.453529,0.473758,0.416672,0.393834
8,0.387574,0.453479,0.473723,0.416629,0.393864
8,0.387504,0.453243,0.473586,0.416463,0.393783
8,0.387504,0.453243,0.473586,0.416463,0.393783
8,0.387473,0.453186,0.473539,0.416373,0.393737
8,0.387474,0.453137,0.473493,0.416278,0.393669
8,0.387521,0.453119,0.473450,0.416210,0.393636
8,0.387585,0.453086,0.473374,0.416134,0.393589
8,0.387632,0.453058,0.473306,0.416080,0.393571
8,0.387662,0.453037,0.473255,0.416034,0.393547
8,0.387679,0.453017,0.473197,0.415987,0.393548
8,0.387727,0.452980,0.473135,0.415936,0.393637
8,0.387734,0.453001,0.473076,0.415924,0.393687
8,0.387757,0.453063,0.472995,0.415903,0.393708
8,0.387755,0.453126,0.472933,0.415919,0.393721
