gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
2,0.232424,0.227512,0.137896,0.115208,0.117046
2,0.241449,0.256221,0.141207,0.120717,0.121061
2,0.244548,0.262717,0.141340,0.123189,0.123845
2,0.245414,0.273293,0.141584,0.123891,0.123980
2,0.245668,0.279742,0.141988,0.124461,0.124089
2,0.245466,0.282766,0.142802,0.125437,0.124484
2,0.245249,0.286817,0.143606,0.126471,0.125453
2,0.244733,0.291447,0.144104,0.126943,0.125835
2,0.244417,0.294107,0.144403,0.127231,0.126082
2,0.243722,0.296659,0.144682,0.127407,0.126228
2,0.243369,0.298666,0.144885,0.127482,0.126360
2,0.243166,0.300563,0.145077,0.127549,0.126387
2,0.242924,0.302315,0.145193,0.127576,0.126466
2,0.242671,0.304093,0.145292,0.127628,0.126522
2,0.242534,0.305571,0.145348,0.127622,0.126543
2,0.242345,0.306576,0.145377,0.127607,0.126582
2,0.242222,0.307576,0.145438,0.127607,0.126623
2,0.242155,0.308235,0.145499,0.127643,0.126687
2,0.242147,0.308554,0.145549,0.127694,0.126749
2,0.242183,0.308802,0.145586,0.127743,0.126850
2,0.242212,0.309083,0.145625,0.127768,0.126927
2,0.242231,0.309088,0.145634,0.127787,0.127011
2,0.242243,0.309235,0.145640,0.127786,0.127086
2,0.242311,0.309395,0.145633,0.127792,0.127137
2,0.242321,0.309506,0.145624,0.127787,0.127169
2,0.242396,0.309741,0.145618,0.127792,0.127193
2,0.242462,0.310131,0.145611,0.127801,0.127219
2,0.242522,0.310418,0.145620,0.127805,0.127244
2,0.242573,0.310861,0.145644,0.127805,0.127258
2,0.242616,0.311549,0.145685,0.127817,0.127272
2,0.242643,0.312212,0.145718,0.127833,0.127309
2,0.242609,0.312702,0.145777,0.127858,0.127337
2,0.242584,0.313270,0.145822,0.127879,0.127373
2,0.242519,0.313753,0.145914,0.127929,0.127407
2,0.242419,0.314609,0.146005,0.127961,0.127437
2,0.242419,0.314609,0.146005,0.127961,0.127437
2,0.242351,0.315530,0.146044,0.127974,0.127471
2,0.242351,0.315530,0.146044,0.127974,0.127471
2,0.242182,0.316513,0.146077,0.127957,0.127512
2,0.242182,0.316513,0.146077,0.127957,0.127512
2,0.242087,0.316971,0.146086,0.127948,0.127529
2,0.242013,0.317143,0.146120,0.127938,0.127541
2,0.242000,0.317248,0.146138,0.127927,0.127562
2,0.241938,0.317318,0.146139,0.127913,0.127580
2,0.241888,0.317418,0.146141,0.127904,0.127604
2,0.241866,0.317425,0.146144,0.127904,0.127635
2,0.241905,0.317384,0.146156,0.127920,0.127669
2,0.241962,0.317056,0.146177,0.127939,0.127693
2,0.242020,0.317050,0.146185,0.127943,0.127708
2,0.242079,0.317000,0.146199,0.127952,0.127698
2,0.242145,0.316946,0.146215,0.127964,0.127694
2,0.242231,0.316914,0.146243,0.127995,0.127691
2,0.242259,0.317061,0.146276,0.128024,0.127696
2,0.242270,0.317135,0.146298,0.128044,0.127709
2,0.242293,0.317241,0.146321,0.128074,0.127736
2,0.242340,0.317382,0.146362,0.128111,0.127759
2,0.242382,0.317432,0.146422,0.128148,0.127775
2,0.242404,0.317553,0.146458,0.128153,0.127801
2,0.242384,0.318002,0.146519,0.128184,0.127860
2,0.242384,0.318002,0.146519,0.128184,0.127860
2,0.242355,0.318191,0.146553,0.128193,0.127889
2,0.242277,0.318365,0.146646,0.128212,0.127897
2,0.242150,0.318702,0.146702,0.128213,0.127908
