gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
1,0.286789,0.440842,0.153075,0.165554,0.162748
1,0.304356,0.437879,0.150755,0.162320,0.161024
1,0.306800,0.437225,0.149702,0.160489,0.159100
1,0.306621,0.436649,0.148806,0.159204,0.157810
1,0.306134,0.436360,0.148183,0.158634,0.157049
1,0.305780,0.436289,0.147808,0.158241,0.156552
1,0.305495,0.436253,0.147600,0.158000,0.156278
1,0.305460,0.436062,0.147133,0.157893,0.156269
1,0.305125,0.436379,0.147188,0.157984,0.156351
1,0.305016,0.436619,0.147170,0.158028,0.156423
1,0.304979,0.436760,0.147153,0.158057,0.156489
1,0.305056,0.436935,0.147160,0.158080,0.156552
1,0.305361,0.437088,0.147399,0.158272,0.156804
1,0.305571,0.437278,0.147597,0.158441,0.157025
1,0.305801,0.437592,0.147763,0.158540,0.157193
1,0.305903,0.437838,0.147896,0.158630,0.157311
1,0.306082,0.438127,0.148034,0.158743,0.157433
1,0.306181,0.438316,0.148144,0.158841,0.157521
1,0.306274,0.438449,0.148225,0.158932,0.157587
1,0.306347,0.438559,0.148269,0.158981,0.157640
1,0.306385,0.438607,0.148296,0.159025,0.157692
1,0.306454,0.438655,0.148334,0.159066,0.157735
1,0.306510,0.438705,0.148370,0.159098,0.157764
1,0.306519,0.438770,0.148393,0.159120,0.157792
1,0.306561,0.438842,0.148412,0.159132,0.157813
1,0.306625,0.438889,0.148427,0.159149,0.157834
1,0.306698,0.438894,0.148439,0.159158,0.157835
1,0.306784,0.438867,0.148433,0.159175,0.157843
1,0.306896,0.438870,0.148446,0.159205,0.157846
1,0.307042,0.438911,0.148493,0.159256,0.157863
1,0.307119,0.438948,0.148555,0.159316,0.157886
1,0.307151,0.438975,0.148575,0.159358,0.157917
1,0.307207,0.439012,0.148598,0.159390,0.157953
1,0.307276,0.439045,0.148620,0.159422,0.157983
1,0.307333,0.439103,0.148642,0.159448,0.158016
1,0.307390,0.439169,0.148672,0.159480,0.158051
1,0.307410,0.439199,0.148705,0.159509,0.158098
1,0.307444,0.439229,0.148735,0.159535,0.158137
1,0.307508,0.439239,0.148800,0.159532,0.158150
1,0.307572,0.439257,0.148891,0.159535,0.158192
1,0.307588,0.439236,0.148940,0.159542,0.158206
1,0.307580,0.439211,0.148962,0.159533,0.158204
1,0.307578,0.439186,0.148961,0.159521,0.158193
1,0.307622,0.439172,0.148979,0.159503,0.158178
1,0.307751,0.439135,0.148997,0.159472,0.158143
1,0.307801,0.439148,0.149079,0.159453,0.158146
1,0.307978,0.439271,0.149235,0.159434,0.158201
1,0.307978,0.439271,0.149235,0.159434,0.158201
1,0.308071,0.439492,0.149309,0.159445,0.158284
1,0.308071,0.439492,0.149309,0.159445,0.158284
1,0.308133,0.439658,0.149328,0.159449,0.158332
1,0.308205,0.439780,0.149332,0.159430,0.158351
1,0.308338,0.439888,0.149312,0.159392,0.158348
1,0.308432,0.439941,0.149271,0.159352,0.158346
1,0.308557,0.439985,0.149224,0.159319,0.158347
1,0.308618,0.440049,0.149156,0.159277,0.158349
1,0.308635,0.440123,0.149079,0.159232,0.158363
1,0.308606,0.440333,0.149043,0.159172,0.158390
1,0.308599,0.440463,0.149047,0.159105,0.158403
1,0.308610,0.440590,0.149075,0.159072,0.158418
1,0.308612,0.440688,0.149113,0.159059,0.158423
1,0.308522,0.440762,0.149127,0.159043,0.158419
1,0.308371,0.440810,0.149138,0.159021,0.158392
1,0.308200,0.440828,0.149164,0.159017,0.158393
1,0.308120,0.440849,0.149190,0.159045,0.158374
1,0.308067,0.440864,0.149229,0.159092,0.158364
1,0.308040,0.440896,0.149261,0.159158,0.158380
1,0.308070,0.440940,0.149295,0.159213,0.158396
1,0.308114,0.440991,0.149319,0.159265,0.158417
1,0.308143,0.441017,0.149325,0.159281,0.158425
1,0.308142,0.441035,0.149321,0.159301,0.158432
1,0.308150,0.441081,0.149281,0.159331,0.158453
1,0.308262,0.441098,0.149283,0.159365,0.158474
1,0.308262,0.441098,0.149283,0.159365,0.158474
1,0.308322,0.441086,0.149293,0.159401,0.158490
1,0.308486,0.441031,0.149279,0.159422,0.158491
1,0.308734,0.440958,0.149277,0.159424,0.158458
1,0.309559,0.440749,0.149297,0.159470,0.158425
1,0.310058,0.440645,0.149341,0.159535,0.158420
1,0.310405,0.440582,0.149391,0.159605,0.158426
1,0.310799,0.440539,0.149434,0.159667,0.158426
1,0.311050,0.440484,0.149464,0.159699,0.158415
1,0.311223,0.440460,0.149488,0.159733,0.158414
1,0.311313,0.440439,0.149493,0.159744,0.158406
1,0.311366,0.440431,0.149512,0.159738,0.158375
1,0.311360,0.440410,0.149525,0.159713,0.158344
1,0.311365,0.440390,0.149543,0.159693,0.158303
1,0.311394,0.440374,0.149554,0.159674,0.158250
1,0.311458,0.440371,0.149576,0.159654,0.158196
1,0.311529,0.440338,0.149585,0.159635,0.158151
1,0.311635,0.440306,0.149580,0.159614,0.158109
1,0.311738,0.440270,0.149546,0.159584,0.158059
1,0.311829,0.440221,0.149504,0.159543,0.158006
1,0.311881,0.440164,0.149456,0.159512,0.157956
1,0.311909,0.440087,0.149406,0.159478,0.157896
1,0.311935,0.439992,0.149366,0.159436,0.157840
1,0.311945,0.439937,0.149338,0.159393,0.157783
1,0.311921,0.439881,0.149314,0.159354,0.157739
1,0.311885,0.439837,0.149283,0.159333,0.157705
1,0.311821,0.439819,0.149268,0.159327,0.157705
1,0.311732,0.439809,0.149251,0.159323,0.157718
1,0.311639,0.439867,0.149244,0.159307,0.157735
1,0.311395,0.439939,0.149247,0.159311,0.157800
1,0.311212,0.440012,0.149252,0.159316,0.157858
1,0.311069,0.440169,0.149234,0.159320,0.157920
1,0.310952,0.440284,0.149218,0.159317,0.157958
1,0.310866,0.440342,0.149206,0.159313,0.157979
1,0.310827,0.440444,0.149157,0.159293,0.157983
1,0.310840,0.440576,0.149134,0.159279,0.157975
1,0.310788,0.440698,0.149115,0.159280,0.157997
1,0.310779,0.440788,0.149086,0.159280,0.158005
1,0.310778,0.440831,0.149079,0.159275,0.158001
1,0.310807,0.440827,0.149076,0.159273,0.157988
1,0.310909,0.440900,0.149097,0.159292,0.157990
1,0.311020,0.440970,0.149126,0.159309,0.157988
1,0.311256,0.441076,0.149161,0.159332,0.157979
1,0.311455,0.441115,0.149200,0.159345,0.157964
1,0.311712,0.441294,0.149258,0.159366,0.157960
1,0.311988,0.441397,0.149401,0.159396,0.157983
1,0.312271,0.441512,0.149419,0.159418,0.157992
1,0.312488,0.441609,0.149427,0.159423,0.157986
1,0.312566,0.441642,0.149387,0.159400,0.157980
1,0.312620,0.441639,0.149387,0.159403,0.157977
1,0.312724,0.441708,0.149377,0.159405,0.157989
1,0.312771,0.441747,0.149366,0.159404,0.157999
1,0.312789,0.441822,0.149339,0.159408,0.158011
1,0.312888,0.441951,0.149363,0.159440,0.158035
1,0.313012,0.442039,0.149375,0.159505,0.158067
1,0.313097,0.442113,0.149405,0.159578,0.158093
1,0.313170,0.442135,0.149444,0.159635,0.158110
1,0.313195,0.442158,0.149470,0.159663,0.158113
1,0.313234,0.442189,0.149512,0.159694,0.158116
1,0.313290,0.442237,0.149546,0.159714,0.158126
1,0.313347,0.442273,0.149580,0.159722,0.158130
1,0.313400,0.442294,0.149605,0.159718,0.158129
1,0.313436,0.442307,0.149641,0.159710,0.158127
1,0.313445,0.442289,0.149649,0.159683,0.158113
1,0.313464,0.442292,0.149666,0.159662,0.158097
1,0.313511,0.442300,0.149691,0.159620,0.158074
1,0.313610,0.442326,0.149714,0.159581,0.158043
1,0.313711,0.442322,0.149713,0.159516,0.157991
1,0.313789,0.442382,0.149750,0.159465,0.157944
1,0.313789,0.442451,0.149805,0.159420,0.157912
1,0.313761,0.442529,0.149867,0.159404,0.157917
1,0.313765,0.442592,0.149929,0.159397,0.157915
1,0.313801,0.442665,0.150001,0.159392,0.157930
1,0.313932,0.442740,0.150060,0.159407,0.157935
1,0.314048,0.442809,0.150129,0.159437,0.157938
1,0.314170,0.442846,0.150184,0.159455,0.157929
1,0.314282,0.442865,0.150212,0.159471,0.157926
1,0.314438,0.442849,0.150226,0.159483,0.157921
1,0.314541,0.442815,0.150228,0.159485,0.157920
1,0.314742,0.442813,0.150220,0.159483,0.157911
1,0.314923,0.442803,0.150199,0.159483,0.157904
1,0.315001,0.442797,0.150172,0.159488,0.157903
1,0.315062,0.442801,0.150140,0.159496,0.157913
1,0.315086,0.442804,0.150091,0.159496,0.157907
1,0.315100,0.442799,0.150055,0.159501,0.157907
1,0.315124,0.442768,0.150008,0.159492,0.157895
1,0.315145,0.442735,0.149957,0.159468,0.157870
1,0.315196,0.442732,0.149927,0.159471,0.157851
1,0.315321,0.442761,0.149926,0.159514,0.157833
1,0.315505,0.442755,0.149909,0.159548,0.157782
1,0.315782,0.442741,0.149914,0.159583,0.157725
1,0.316093,0.442716,0.149917,0.159593,0.157651
1,0.316336,0.442711,0.149904,0.159593,0.157603
1,0.316528,0.442734,0.149894,0.159597,0.157570
1,0.316638,0.442743,0.149894,0.159605,0.157560
1,0.316676,0.442718,0.149905,0.159593,0.157545
1,0.316676,0.442719,0.149924,0.159585,0.157540
1,0.316676,0.442766,0.149961,0.159588,0.157537
1,0.316666,0.442770,0.149991,0.159587,0.157521
1,0.316681,0.442750,0.150059,0.159602,0.157510
1,0.316708,0.442725,0.150124,0.159633,0.157510
1,0.316729,0.442701,0.150166,0.159659,0.157514
1,0.316723,0.442676,0.150190,0.159684,0.157519
1,0.316726,0.442639,0.150191,0.159713,0.157539
1,0.316731,0.442635,0.150193,0.159737,0.157561
1,0.316717,0.442636,0.150177,0.159757,0.157574
1,0.316685,0.442620,0.150137,0.159769,0.157586
1,0.316697,0.442617,0.150118,0.159785,0.157595
1,0.316739,0.442657,0.150115,0.159805,0.157600
1,0.316757,0.442695,0.150137,0.159849,0.157610
1,0.316766,0.442714,0.150175,0.159901,0.157628
1,0.316761,0.442680,0.150197,0.159935,0.157631
1,0.316815,0.442675,0.150220,0.159951,0.157620
1,0.316917,0.442648,0.150240,0.159960,0.157577
