gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
8,0.373692,0.497417,0.517896,0.459806,0.418360
8,0.372562,0.496058,0.516681,0.458931,0.417151
8,0.372051,0.495191,0.515908,0.458345,0.416328
8,0.371731,0.494665,0.515541,0.458004,0.415783
8,0.371526,0.494261,0.515280,0.457797,0.415464
8,0.371556,0.493315,0.514512,0.457462,0.414890
8,0.371506,0.492982,0.514165,0.457313,0.414759
8,0.371352,0.493140,0.514283,0.457380,0.414894
8,0.371332,0.493258,0.514311,0.457409,0.414923
8,0.371329,0.493249,0.514283,0.457370,0.414932
8,0.371276,0.492853,0.514053,0.457176,0.414729
8,0.371246,0.492639,0.513863,0.456997,0.414607
8,0.371275,0.492495,0.513785,0.456912,0.414578
8,0.371237,0.492373,0.513725,0.456845,0.414557
8,0.371189,0.492272,0.513586,0.456764,0.414519
8,0.371167,0.492227,0.513557,0.456715,0.414476
8,0.371150,0.492176,0.513551,0.456679,0.414406
8,0.371161,0.492165,0.513552,0.456683,0.414414
8,0.371163,0.492173,0.513602,0.456728,0.414460
8,0.371158,0.492191,0.513639,0.456755,0.414494
8,0.371143,0.492186,0.513646,0.456762,0.414498
8,0.371135,0.492171,0.513651,0.456775,0.414511
8,0.371135,0.492155,0.513667,0.456793,0.414528
8,0.371115,0.492153,0.513680,0.456797,0.414536
8,0.371100,0.492151,0.513693,0.456780,0.414546
8,0.371069,0.492091,0.513695,0.456707,0.414553
8,0.371011,0.492075,0.513696,0.456675,0.414557
8,0.370950,0.492038,0.513657,0.456635,0.414530
8,0.370886,0.492011,0.513618,0.456611,0.414509
8,0.370773,0.491962,0.513566,0.456571,0.414484
8,0.370773,0.491962,0.513566,0.456571,0.414484
8,0.370739,0.491914,0.513515,0.456546,0.414443
8,0.370722,0.491879,0.513463,0.456512,0.414406
8,0.370708,0.491845,0.513394,0.456480,0.414366
8,0.370722,0.491812,0.513307,0.456427,0.414335
8,0.370724,0.491797,0.513249,0.456400,0.414291
8,0.370719,0.491772,0.513208,0.456381,0.414258
8,0.370712,0.491764,0.513193,0.456373,0.414240
8,0.370694,0.491751,0.513175,0.456359,0.414216
8,0.370706,0.491741,0.513154,0.456342,0.414201
8,0.370720,0.491721,0.513114,0.456319,0.414191
8,0.370724,0.491683,0.513075,0.456290,0.414181
8,0.370726,0.491673,0.513062,0.456279,0.414181
8,0.370758,0.491657,0.513059,0.456263,0.414190
8,0.370767,0.491644,0.513060,0.456250,0.414192
8,0.370771,0.491636,0.513032,0.456225,0.414189
8,0.370762,0.491611,0.513000,0.456206,0.414201
8,0.370726,0.491484,0.512901,0.456128,0.414172
8,0.370707,0.491398,0.512876,0.456067,0.414147
8,0.370636,0.491416,0.512827,0.455883,0.414185
8,0.370619,0.491423,0.512781,0.455810,0.414204
8,0.370619,0.491423,0.512781,0.455810,0.414204
8,0.370590,0.491443,0.512753,0.455762,0.414208
8,0.370581,0.491488,0.512785,0.455774,0.414221
8,0.370577,0.491507,0.512809,0.455785,0.414243
8,0.370554,0.491508,0.512810,0.455784,0.414242
8,0.370517,0.491535,0.512741,0.455737,0.414209
8,0.370457,0.491537,0.512661,0.455689,0.414181
8,0.370355,0.491559,0.512637,0.455669,0.414178
8,0.370286,0.491564,0.512619,0.455664,0.414177
8,0.370246,0.491572,0.512610,0.455674,0.414180
8,0.370200,0.491607,0.512676,0.455727,0.414233
8,0.370155,0.491640,0.512707,0.455765,0.414262
8,0.370128,0.491659,0.512734,0.455793,0.414251
8,0.370127,0.491650,0.512758,0.455821,0.414265
8,0.370099,0.491655,0.512793,0.455854,0.414292
8,0.370058,0.491675,0.512854,0.455907,0.414322
8,0.370032,0.491687,0.512884,0.455922,0.414324
8,0.370022,0.491704,0.512928,0.455959,0.414377
8,0.370000,0.491735,0.512973,0.455993,0.414457
8,0.369962,0.491737,0.513001,0.456049,0.414525
8,0.369931,0.491761,0.513015,0.456086,0.414610
8,0.369895,0.491852,0.513024,0.456169,0.414717
8,0.369844,0.491910,0.513046,0.456221,0.414779
8,0.369808,0.491964,0.513063,0.456265,0.414839
8,0.369776,0.491999,0.513062,0.456290,0.414877
8,0.369758,0.492023,0.513050,0.456311,0.414903
8,0.369735,0.492047,0.513029,0.456318,0.414910
8,0.369725,0.492066,0.513003,0.456315,0.414925
8,0.369727,0.492053,0.512971,0.456286,0.414922
8,0.369735,0.492031,0.512950,0.456264,0.414945
8,0.369726,0.492101,0.512923,0.456271,0.414988
8,0.369751,0.492172,0.512868,0.456270,0.415007
8,0.369725,0.492271,0.512820,0.456288,0.415001
8,0.369698,0.492335,0.512810,0.456309,0.415001
8,0.369685,0.492372,0.512801,0.456326,0.414992
8,0.369671,0.492398,0.512795,0.456339,0.414979
8,0.369678,0.492385,0.512767,0.456326,0.414952
8,0.369711,0.492338,0.512728,0.456290,0.414892
8,0.369723,0.492275,0.512651,0.456233,0.414857
8,0.369731,0.492175,0.512555,0.456144,0.414787
8,0.369729,0.492113,0.512479,0.456085,0.414743
8,0.369730,0.492064,0.512454,0.456052,0.414718
8,0.369717,0.492005,0.512416,0.456010,0.414675
8,0.369711,0.491941,0.512374,0.455963,0.414629
8,0.369725,0.491861,0.512351,0.455905,0.414574
8,0.369731,0.491806,0.512325,0.455859,0.414527
8,0.369779,0.491684,0.512279,0.455833,0.414458
8,0.369823,0.491580,0.512243,0.455819,0.414443
8,0.369847,0.491567,0.512314,0.455884,0.414516
8,0.369922,0.491502,0.512307,0.455935,0.414569
8,0.369958,0.491489,0.512310,0.455985,0.414675
8,0.370028,0.491499,0.512303,0.456012,0.414761
8,0.370105,0.491526,0.512314,0.456033,0.414836
8,0.370171,0.491541,0.512314,0.456034,0.414876
8,0.370224,0.491567,0.512324,0.456033,0.414913
8,0.370286,0.491613,0.512340,0.456038,0.414940
8,0.370355,0.491668,0.512342,0.456044,0.414983
8,0.370384,0.491701,0.512336,0.456034,0.415017
8,0.370422,0.491746,0.512338,0.456027,0.415046
