gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
1,0.234228,0.449658,0.147192,0.135192,0.138667
1,0.220200,0.445859,0.139891,0.143133,0.147284
1,0.214605,0.446870,0.140326,0.144654,0.149550
1,0.213062,0.446579,0.140466,0.144972,0.150181
1,0.212048,0.445823,0.140571,0.145115,0.150716
1,0.211481,0.445052,0.140479,0.145106,0.151000
1,0.211051,0.444445,0.140306,0.145062,0.151184
1,0.210716,0.444026,0.140178,0.145047,0.151337
1,0.210395,0.443762,0.140018,0.144985,0.151428
1,0.210176,0.443516,0.139918,0.144935,0.151488
1,0.209946,0.443286,0.139782,0.144853,0.151485
1,0.209920,0.442962,0.139765,0.144844,0.151558
1,0.209869,0.442798,0.139720,0.144807,0.151573
1,0.209783,0.442657,0.139639,0.144749,0.151585
1,0.209681,0.442531,0.139546,0.144686,0.151578
1,0.209553,0.442392,0.139458,0.144609,0.151556
1,0.209404,0.442256,0.139382,0.144537,0.151517
1,0.209336,0.442048,0.139292,0.144458,0.151477
1,0.209263,0.441863,0.139243,0.144400,0.151446
1,0.209209,0.441789,0.139193,0.144363,0.151428
1,0.209161,0.441711,0.139167,0.144335,0.151390
1,0.209112,0.441637,0.139136,0.144297,0.151352
1,0.209031,0.441575,0.139108,0.144259,0.151299
1,0.208890,0.441487,0.139092,0.144223,0.151236
1,0.208849,0.441410,0.139102,0.144212,0.151165
1,0.208785,0.441318,0.139116,0.144203,0.151129
1,0.208790,0.441234,0.139107,0.144153,0.151070
1,0.208741,0.441070,0.139055,0.144076,0.151003
1,0.208776,0.440993,0.139100,0.144005,0.150939
1,0.208901,0.440874,0.139146,0.143974,0.150892
1,0.209021,0.440751,0.139193,0.143945,0.150874
1,0.209133,0.440604,0.139223,0.143928,0.150858
1,0.209163,0.440557,0.139241,0.143923,0.150882
1,0.209184,0.440554,0.139271,0.143945,0.150927
1,0.209210,0.440570,0.139299,0.143966,0.150995
1,0.209313,0.440632,0.139309,0.143982,0.151048
1,0.209315,0.440684,0.139304,0.143982,0.151097
1,0.209306,0.440754,0.139318,0.143982,0.151124
1,0.209270,0.440818,0.139343,0.143967,0.151108
1,0.209264,0.440872,0.139374,0.143970,0.151104
1,0.209272,0.440905,0.139423,0.143956,0.151063
1,0.209382,0.440901,0.139452,0.143951,0.151038
1,0.209366,0.440858,0.139430,0.143917,0.151008
